"year","county","crop_name","harv_ac"
2020,"Adams","Corn",153200
2019,"Adams","Corn",128200
2018,"Adams","Corn",147000
2017,"Adams","Corn",150000
2016,"Adams","Corn",162900
2015,"Adams","Corn",155000
2020,"Alexander","Corn",6560
2019,"Alexander","Corn",3300
2018,"Alexander","Corn",6700
2017,"Alexander","Corn",4900
2016,"Alexander","Corn",8500
2021,"Bond","Corn",71300
2020,"Bond","Corn",70300
2019,"Bond","Corn",59900
2017,"Bond","Corn",68000
2015,"Bond","Corn",69900
2021,"Boone","Corn",74100
2020,"Boone","Corn",75000
2019,"Boone","Corn",60500
2018,"Boone","Corn",70100
2017,"Boone","Corn",59600
2016,"Boone","Corn",67700
2015,"Boone","Corn",66600
2021,"Brown","Corn",37600
2020,"Brown","Corn",35300
2018,"Brown","Corn",34000
2017,"Brown","Corn",36600
2016,"Brown","Corn",40600
2015,"Brown","Corn",42600
2021,"Bureau","Corn",248000
2020,"Bureau","Corn",256500
2019,"Bureau","Corn",209500
2018,"Bureau","Corn",261000
2017,"Bureau","Corn",260000
2016,"Bureau","Corn",271500
2015,"Bureau","Corn",259500
2021,"Calhoun","Corn",19600
2020,"Calhoun","Corn",18400
2019,"Calhoun","Corn",18200
2017,"Calhoun","Corn",17500
2015,"Calhoun","Corn",20900
2021,"Carroll","Corn",125400
2020,"Carroll","Corn",131300
2019,"Carroll","Corn",128500
2018,"Carroll","Corn",130700
2017,"Carroll","Corn",145800
2016,"Carroll","Corn",145600
2015,"Carroll","Corn",145600
2021,"Cass","Corn",79000
2020,"Cass","Corn",80400
2019,"Cass","Corn",78200
2018,"Cass","Corn",81700
2017,"Cass","Corn",89400
2016,"Cass","Corn",99900
2015,"Cass","Corn",99100
2021,"Champaign","Corn",262000
2020,"Champaign","Corn",271500
2019,"Champaign","Corn",270500
2018,"Champaign","Corn",272000
2017,"Champaign","Corn",270000
2016,"Champaign","Corn",284500
2015,"Champaign","Corn",281000
2021,"Christian","Corn",188100
2020,"Christian","Corn",186500
2019,"Christian","Corn",187100
2018,"Christian","Corn",179400
2017,"Christian","Corn",188700
2016,"Christian","Corn",205500
2015,"Christian","Corn",203500
2021,"Clark","Corn",89500
2020,"Clark","Corn",93900
2018,"Clark","Corn",91500
2017,"Clark","Corn",89400
2015,"Clark","Corn",90700
2021,"Clay","Corn",73900
2020,"Clay","Corn",71600
2019,"Clay","Corn",61800
2018,"Clay","Corn",63500
2017,"Clay","Corn",71700
2016,"Clay","Corn",63100
2015,"Clay","Corn",79800
2021,"Clinton","Corn",92100
2020,"Clinton","Corn",96100
2019,"Clinton","Corn",72100
2018,"Clinton","Corn",83900
2017,"Clinton","Corn",83300
2016,"Clinton","Corn",91300
2015,"Clinton","Corn",82600
2021,"Coles","Corn",115500
2020,"Coles","Corn",113100
2019,"Coles","Corn",117400
2018,"Coles","Corn",113700
2017,"Coles","Corn",113200
2015,"Coles","Corn",121900
2021,"Cook","Corn",2860
2019,"Cook","Corn",1000
2016,"Cook","Corn",3000
2021,"Crawford","Corn",82300
2020,"Crawford","Corn",81500
2019,"Crawford","Corn",76700
2018,"Crawford","Corn",79700
2017,"Crawford","Corn",83200
2015,"Crawford","Corn",84400
2020,"Cumberland","Corn",61200
2019,"Cumberland","Corn",64500
2017,"Cumberland","Corn",61500
2016,"Cumberland","Corn",62700
2015,"Cumberland","Corn",67300
2021,"DeKalb","Corn",189900
2020,"DeKalb","Corn",202000
2019,"DeKalb","Corn",154200
2018,"DeKalb","Corn",202000
2017,"DeKalb","Corn",208000
2016,"DeKalb","Corn",217000
2015,"DeKalb","Corn",221000
2021,"DeWitt","Corn",99000
2020,"DeWitt","Corn",100700
2018,"DeWitt","Corn",101000
2017,"DeWitt","Corn",99600
2016,"DeWitt","Corn",105900
2015,"DeWitt","Corn",106500
2020,"Douglas","Corn",107900
2019,"Douglas","Corn",114100
2018,"Douglas","Corn",108400
2017,"Douglas","Corn",113100
2016,"Douglas","Corn",117200
2015,"Douglas","Corn",116300
2021,"Edgar","Corn",158900
2020,"Edgar","Corn",156600
2018,"Edgar","Corn",157500
2017,"Edgar","Corn",158900
2016,"Edgar","Corn",171600
2015,"Edgar","Corn",169700
2021,"Edwards","Corn",42700
2020,"Edwards","Corn",42300
2018,"Edwards","Corn",39600
2017,"Edwards","Corn",38200
2016,"Edwards","Corn",39700
2021,"Effingham","Corn",85300
2020,"Effingham","Corn",82900
2019,"Effingham","Corn",79700
2018,"Effingham","Corn",80600
2017,"Effingham","Corn",86000
2016,"Effingham","Corn",83300
2015,"Effingham","Corn",87400
2021,"Fayette","Corn",113000
2020,"Fayette","Corn",113400
