"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2021","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2020","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","120,000",""
"SURVEY","2020","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","66,000",""
"SURVEY","2019","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","90,000",""
"SURVEY","2018","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","95,000",""
"SURVEY","2018","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2017","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","110,000",""
"SURVEY","2016","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","115,000",""
"SURVEY","2016","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","115,000",""
"SURVEY","2015","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","110,000",""
"SURVEY","2015","YEAR - AUG FORECAST","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","118,000",""
"SURVEY","2015","YEAR - JUL FORECAST","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","118,000",""
"SURVEY","2015","YEAR - JUN ACREAGE","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","118,000",""
