Year,Crop,FIPS,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,corn,1,Adams,368,7.10,7.30,0,0.00,0.00,5,1.40,2.10,24,6.50,3.60,339,92.10,7.40
2015,corn,3,Alexander,21,5.70,5.80,0,0.00,0.00,1,4.80,3.20,0,0.00,0.00,20,95.20,5.90
2015,corn,5,Bond,175,6.00,6.10,1,0.60,1.90,1,0.60,0.90,0,0.00,0.00,173,98.90,6.10
2015,corn,7,Boone,258,2.90,3.90,13,5.00,0.50,72,27.90,1.30,58,22.50,2.50,115,44.60,4.40
2015,corn,9,Brown,246,5.60,8.00,22,9.00,1.00,56,23.00,1.80,59,24.00,4.40,109,44.00,9.10
2015,corn,11,Bureau,328,1.60,3.00,8,2.40,0.80,155,47.30,1.00,140,42.70,2.00,25,7.60,3.20
2015,corn,13,Calhoun,120,4.10,11.10,54,45.00,3.80,4,3.30,1.70,59,49.20,4.60,3,2.50,2.70
2015,corn,15,Carroll,370,3.40,6.70,36,9.70,3.10,237,64.10,2.70,82,22.20,4.70,15,4.10,6.90
2015,corn,17,Cass,307,1.40,7.10,56,18.00,0.80,226,74.00,1.50,25,8.00,2.30,0,0.00,0.00
2015,corn,19,Champaign,296,3.10,3.50,5,2.00,0.30,29,10.00,0.60,40,13.00,2.40,222,75.00,3.60
2015,corn,21,Christian,252,3.20,4.00,3,1.00,0.90,1,0.00,1.30,145,58.00,2.50,103,41.00,4.30
2015,corn,23,Clark,222,3.70,3.80,0,0.00,0.00,2,1.00,0.50,16,7.00,1.80,204,92.00,3.80
2015,corn,25,Clay,266,5.00,6.90,15,5.60,1.50,45,16.90,2.50,32,12.00,6.20,174,65.40,5.70
2015,corn,27,Clinton,285,4.00,4.60,6,2.10,0.80,30,10.50,1.50,29,10.20,2.50,220,77.20,4.60
2015,corn,29,Coles,242,4.50,4.50,1,0.40,0.10,0,0.00,0.00,10,4.10,1.50,231,95.50,4.60
2015,corn,31,Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,corn,33,Crawford,264,7.40,7.90,3,1.10,1.20,8,3.00,1.80,25,9.50,3.80,228,86.40,8.10
2015,corn,35,Cumberland,276,3.40,3.60,9,3.00,0.50,5,2.00,0.80,10,4.00,3.50,252,91.00,3.50
2015,corn,37,DeKalb,281,2.70,3.90,10,3.60,0.90,98,34.90,1.50,67,23.80,2.50,106,37.70,4.30
2015,corn,39,DeWitt,275,1.60,4.50,7,2.50,0.60,202,73.50,0.70,37,13.50,3.50,29,10.50,5.40
2015,corn,41,Douglas,264,2.70,2.70,4,2.00,0.80,1,0.00,0.50,10,4.00,1.60,249,94.00,2.80
2015,corn,45,Edgar,224,4.70,5.20,6,3.00,0.40,16,7.00,1.50,29,13.00,2.70,173,77.00,5.50
2015,corn,47,Edwards,196,6.20,11.90,79,40.30,2.20,21,10.70,3.70,12,6.10,7.70,84,42.90,10.40
2015,corn,49,Effingham,249,2.90,3.00,0,0.00,0.00,8,3.20,0.80,7,2.80,1.10,234,94.00,3.00
2015,corn,51,Fayette,311,5.00,5.20,2,0.60,1.70,10,3.20,1.50,5,1.60,3.90,294,94.50,5.10
2015,corn,53,Ford,308,3.30,4.00,29,9.40,0.60,21,6.80,1.40,52,16.90,2.10,206,66.90,4.20
2015,corn,55,Franklin,160,8.00,9.20,0,0.00,0.00,11,6.90,1.50,28,17.50,6.50,121,75.60,8.90
2015,corn,57,Fulton,314,4.40,7.70,39,12.40,1.70,72,22.90,1.60,147,46.80,5.20,56,17.80,7.60
2015,corn,59,Gallatin,242,5.00,6.00,9,3.70,1.90,6,2.50,4.50,122,50.40,4.70,105,43.40,5.80
2015,corn,61,Greene,314,4.90,6.30,41,13.10,1.10,45,14.30,2.20,0,0.00,0.00,228,72.60,6.10
2015,corn,63,Grundy,263,1.60,2.40,45,17.10,0.40,34,12.90,0.70,65,24.70,1.60,119,45.20,2.40
2015,corn,65,Hamilton,158,3.10,5.00,38,24.10,1.20,13,8.20,1.70,10,6.30,2.90,97,61.40,4.10
2015,corn,67,Hancock,261,3.60,4.90,4,1.50,0.70,32,12.30,1.50,77,29.50,3.30,148,56.70,4.30
2015,corn,69,Hardin,12,3.50,6.70,5,41.70,1.30,2,16.70,2.20,0,0.00,0.00,5,41.70,6.20
2015,corn,71,Henderson,343,3.70,8.50,56,16.30,1.20,149,43.40,2.70,102,29.70,5.10,36,10.50,7.80
2015,corn,73,Henry,335,3.30,7.90,154,46.00,2.40,58,17.30,1.90,61,18.20,4.10,62,18.50,6.30
2015,corn,75,Iroquois,225,1.60,2.50,14,6.20,0.20,68,30.20,0.50,72,32.00,1.50,71,31.60,3.10
2015,corn,77,Jackson,105,4.70,9.70,31,29.50,2.50,16,15.20,3.40,23,21.90,4.70,35,33.30,7.30
2015,corn,79,Jasper,278,3.80,4.50,19,6.80,0.60,8,2.90,1.90,35,12.60,3.10,216,77.70,4.20
2015,corn,81,Jefferson,146,10.90,12.40,9,6.20,2.80,7,4.80,3.40,9,6.20,5.80,121,82.90,12.30
2015,corn,83,Jersey,245,5.00,8.90,55,22.40,1.80,43,17.60,2.90,63,25.70,5.30,84,34.30,8.00
2015,corn,85,JoDaviess,306,2.70,9.50,145,47.40,1.60,138,45.10,3.20,9,2.90,3.90,14,4.60,9.80
2015,corn,87,Johnson,28,9.10,22.50,13,46.40,5.60,8,28.60,6.00,7,25.00,19.30,0,0.00,0.00
