"site_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha."
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2013,1199.339053,1955.624149,1955.624149
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2013,0,53.769387,53.769387
"IL-n_10","ct-cc-fn","rcp26","corn","soybean",2014,945.789355,1104.981529,1104.981529
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2014,0,259.58698,259.58698
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2015,3731.303487,2661.014754,2661.014754
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2015,0,293.996649,293.996649
"IL-n_10","ct-cc-fn","rcp26","corn","soybean",2016,729.7893,1112.513592,1112.513592
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2016,28.068035,330.641705,330.641705
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2017,3102.43259,2678.983414,2678.983414
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2017,0,697.439575,697.439575
"IL-n_10","ct-cc-fn","rcp26","corn","soybean",2018,224.275766,1119.941071,1119.941071
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2018,0,239.222709,239.222709
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2019,4458.941367,2474.774547,2474.774547
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2019,0,581.186515,581.186515
"IL-n_10","ct-cc-fn","rcp26","corn","soybean",2020,1245.614608,1127.25144,1127.25144
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2020,0,464.343476,464.343476
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2021,1919.49127,2015.526172,2015.526172
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2021,0,945.648526,945.648526
"IL-n_10","ct-cc-fn","rcp26","corn","soybean",2022,430.974028,1134.33878,1134.33878
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2022,0,585.370652,585.370652
"IL-n_10","ct-cc-fn","rcp26","corn","corn, grain",2023,3376.64102,2730.328537,2730.328537
"IL-n_10","ct-cc-fn","rcp26","corn","rye, winter, cover",2023,0,532.092312,532.092312
