"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"a_1__CA__almond-a__ct-nc__rcp26","a_1","CA","ct-nc","rcp26","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-a__ct-nc__rcp60","a_1","CA","ct-nc","rcp60","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp26","a_1","CA","nt-nc","rcp26","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp60","a_1","CA","nt-nc","rcp60","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp26","a_1","CA","rt-nc","rcp26","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp60","a_1","CA","rt-nc","rcp60","almond-a","fallow",2013,0,0,0,0
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2014,36.577216,200.007422,200.007422,323.502138
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2014,58.291117,184.785234,184.785234,297.925194
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2014,36.577216,200.007422,200.007422,323.502138
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2014,58.291117,184.785234,184.785234,297.925194
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2014,0,504.953859,504.953859,704.022207
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2014,0,611.515043,611.515043,852.593088
"a_1__CA__almond-a__rt-lc__rcp26","a_1","CA","rt-lc","rcp26","almond-a","faba_bean",2014,0,504.953859,504.953859,704.022207
"a_1__CA__almond-a__rt-lc__rcp60","a_1","CA","rt-lc","rcp60","almond-a","faba_bean",2014,0,611.515043,611.515043,852.593088
"a_1__CA__almond-a__ct-nc__rcp26","a_1","CA","ct-nc","rcp26","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__ct-nc__rcp60","a_1","CA","ct-nc","rcp60","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp26","a_1","CA","nt-nc","rcp26","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp60","a_1","CA","nt-nc","rcp60","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp26","a_1","CA","rt-nc","rcp26","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp60","a_1","CA","rt-nc","rcp60","almond-a","fallow",2014,0,0,0,0
"a_1__CA__almond-a__ct-bc__rcp26","a_1","CA","ct-bc","rcp26","almond-a","triticale, cover",2014,55.912244,203.909583,203.909583,190.11119
"a_1__CA__almond-a__ct-bc__rcp60","a_1","CA","ct-bc","rcp60","almond-a","triticale, cover",2014,57.342411,194.98326,194.98326,181.788904
"a_1__CA__almond-a__nt-bc__rcp26","a_1","CA","nt-bc","rcp26","almond-a","triticale, cover",2014,58.714792,51.244668,51.244668,47.776983
"a_1__CA__almond-a__nt-bc__rcp60","a_1","CA","nt-bc","rcp60","almond-a","triticale, cover",2014,57.456886,54.200876,54.200876,50.533148
"a_1__CA__almond-a__nt-lc__rcp26","a_1","CA","nt-lc","rcp26","almond-a","triticale, cover",2014,58.714792,51.244668,51.244668,47.776983
"a_1__CA__almond-a__nt-lc__rcp60","a_1","CA","nt-lc","rcp60","almond-a","triticale, cover",2014,57.456886,54.200876,54.200876,50.533148
"a_1__CA__almond-a__rt-bc__rcp26","a_1","CA","rt-bc","rcp26","almond-a","triticale, cover",2014,55.912244,203.909583,203.909583,190.11119
"a_1__CA__almond-a__rt-bc__rcp60","a_1","CA","rt-bc","rcp60","almond-a","triticale, cover",2014,57.342411,194.98326,194.98326,181.788904
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2015,43.469442,292.231408,292.231408,470.979357
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2015,50.954194,278.443795,278.443795,448.636744
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2015,43.469442,292.231408,292.231408,470.979357
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2015,50.954194,278.443795,278.443795,448.636744
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2015,117.620055,504.953859,504.953859,703.987006
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2015,72.44626,611.515043,611.515043,852.550459
"a_1__CA__almond-a__rt-lc__rcp26","a_1","CA","rt-lc","rcp26","almond-a","faba_bean",2015,117.620055,504.953859,504.953859,703.987006
"a_1__CA__almond-a__rt-lc__rcp60","a_1","CA","rt-lc","rcp60","almond-a","faba_bean",2015,72.44626,611.515043,611.515043,852.550459
"a_1__CA__almond-a__ct-nc__rcp26","a_1","CA","ct-nc","rcp26","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__ct-nc__rcp60","a_1","CA","ct-nc","rcp60","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp26","a_1","CA","nt-nc","rcp26","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp60","a_1","CA","nt-nc","rcp60","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp26","a_1","CA","rt-nc","rcp26","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__rt-nc__rcp60","a_1","CA","rt-nc","rcp60","almond-a","fallow",2015,0,0,0,0
"a_1__CA__almond-a__ct-bc__rcp26","a_1","CA","ct-bc","rcp26","almond-a","triticale, cover",2015,74.6172,203.909583,203.909583,190.101684
"a_1__CA__almond-a__ct-bc__rcp60","a_1","CA","ct-bc","rcp60","almond-a","triticale, cover",2015,71.025562,194.98326,194.98326,181.788904
"a_1__CA__almond-a__nt-bc__rcp26","a_1","CA","nt-bc","rcp26","almond-a","triticale, cover",2015,80.57529,51.244668,51.244668,47.776983
"a_1__CA__almond-a__nt-bc__rcp60","a_1","CA","nt-bc","rcp60","almond-a","triticale, cover",2015,64.951077,54.200876,54.200876,50.533148
"a_1__CA__almond-a__nt-lc__rcp26","a_1","CA","nt-lc","rcp26","almond-a","triticale, cover",2015,80.57529,51.244668,51.244668,47.776983
"a_1__CA__almond-a__nt-lc__rcp60","a_1","CA","nt-lc","rcp60","almond-a","triticale, cover",2015,64.951077,54.200876,54.200876,50.533148
"a_1__CA__almond-a__rt-bc__rcp26","a_1","CA","rt-bc","rcp26","almond-a","triticale, cover",2015,74.6172,203.909583,203.909583,190.101684
"a_1__CA__almond-a__rt-bc__rcp60","a_1","CA","rt-bc","rcp60","almond-a","triticale, cover",2015,71.025562,194.98326,194.98326,181.788904
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2016,110.961488,242.461548,242.461548,390.777747
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2016,49.716923,278.047928,278.047928,448.759107
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2016,110.961488,242.461548,242.461548,390.777747
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2016,49.716923,278.047928,278.047928,448.759107
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2016,559.235295,232.757157,232.757157,324.51719
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2016,1025.266705,521.931049,521.931049,727.692327
"a_1__CA__almond-a__rt-lc__rcp26","a_1","CA","rt-lc","rcp26","almond-a","faba_bean",2016,534.090478,233.247678,233.247678,325.201089
"a_1__CA__almond-a__rt-lc__rcp60","a_1","CA","rt-lc","rcp60","almond-a","faba_bean",2016,994.210704,524.0266,524.0266,730.61401
"a_1__CA__almond-a__ct-nc__rcp26","a_1","CA","ct-nc","rcp26","almond-a","fallow",2016,0,0,0,0
"a_1__CA__almond-a__ct-nc__rcp60","a_1","CA","ct-nc","rcp60","almond-a","fallow",2016,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp26","a_1","CA","nt-nc","rcp26","almond-a","fallow",2016,0,0,0,0
"a_1__CA__almond-a__nt-nc__rcp60","a_1","CA","nt-nc","rcp60","almond-a","fallow",2016,0,0,0,0
