"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2014,36.718981,222.544715,222.544715,360.176628
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2014,61.481537,196.885196,196.885196,317.568862
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2014,36.718981,222.544715,222.544715,360.176628
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2014,61.481537,196.885196,196.885196,317.568862
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2014,0,471.315899,471.315899,657.123128
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2014,0,469.279491,469.279491,654.283905
"a_1__CA__almond-a__nt-lc__rcp26","a_1","CA","nt-lc","rcp26","almond-a","faba_bean",2014,0,401.961777,401.961777,560.427478
"a_1__CA__almond-a__nt-lc__rcp60","a_1","CA","nt-lc","rcp60","almond-a","faba_bean",2014,0,396.286119,396.286119,552.514301
"a_1__CA__almond-a__rt-lc__rcp26","a_1","CA","rt-lc","rcp26","almond-a","faba_bean",2014,0,471.315899,471.315899,657.123128
"a_1__CA__almond-a__rt-lc__rcp60","a_1","CA","rt-lc","rcp60","almond-a","faba_bean",2014,0,469.279491,469.279491,654.283905
"a_1__CA__almond-a__ct-bc__rcp26","a_1","CA","ct-bc","rcp26","almond-a","triticale, cover",2014,55.912244,203.909583,203.909583,190.11119
"a_1__CA__almond-a__ct-bc__rcp60","a_1","CA","ct-bc","rcp60","almond-a","triticale, cover",2014,57.342411,194.98326,194.98326,181.788904
"a_1__CA__almond-a__nt-bc__rcp26","a_1","CA","nt-bc","rcp26","almond-a","triticale, cover",2014,65.00468,75.917826,75.917826,70.780529
"a_1__CA__almond-a__nt-bc__rcp60","a_1","CA","nt-bc","rcp60","almond-a","triticale, cover",2014,60.281977,65.72706,65.72706,61.279364
"a_1__CA__almond-a__rt-bc__rcp26","a_1","CA","rt-bc","rcp26","almond-a","triticale, cover",2014,45.353145,202.494545,202.494545,188.791907
"a_1__CA__almond-a__rt-bc__rcp60","a_1","CA","rt-bc","rcp60","almond-a","triticale, cover",2014,55.604112,130.259536,130.259536,121.444981
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2015,43.79142,289.855388,289.855388,467.11777
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2015,49.195086,285.778446,285.778446,460.548673
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2015,43.79142,289.855388,289.855388,467.11777
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2015,49.195086,285.778446,285.778446,460.548673
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2015,104.411423,471.315899,471.315899,657.090272
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2015,65.228693,469.279491,469.279491,654.251191
"a_1__CA__almond-a__nt-lc__rcp26","a_1","CA","nt-lc","rcp26","almond-a","faba_bean",2015,84.514547,401.961777,401.961777,560.399456
"a_1__CA__almond-a__nt-lc__rcp60","a_1","CA","nt-lc","rcp60","almond-a","faba_bean",2015,65.096573,396.286119,396.286119,552.486675
"a_1__CA__almond-a__rt-lc__rcp26","a_1","CA","rt-lc","rcp26","almond-a","faba_bean",2015,104.411423,471.315899,471.315899,657.090272
"a_1__CA__almond-a__rt-lc__rcp60","a_1","CA","rt-lc","rcp60","almond-a","faba_bean",2015,65.228693,469.279491,469.279491,654.251191
"a_1__CA__almond-a__ct-bc__rcp26","a_1","CA","ct-bc","rcp26","almond-a","triticale, cover",2015,74.6172,203.909583,203.909583,190.101684
"a_1__CA__almond-a__ct-bc__rcp60","a_1","CA","ct-bc","rcp60","almond-a","triticale, cover",2015,71.025562,194.98326,194.98326,181.788904
"a_1__CA__almond-a__nt-bc__rcp26","a_1","CA","nt-bc","rcp26","almond-a","triticale, cover",2015,82.236578,75.917826,75.917826,70.780529
"a_1__CA__almond-a__nt-bc__rcp60","a_1","CA","nt-bc","rcp60","almond-a","triticale, cover",2015,65.918035,65.72706,65.72706,61.279364
"a_1__CA__almond-a__rt-bc__rcp26","a_1","CA","rt-bc","rcp26","almond-a","triticale, cover",2015,62.199769,202.494545,202.494545,188.782467
"a_1__CA__almond-a__rt-bc__rcp60","a_1","CA","rt-bc","rcp60","almond-a","triticale, cover",2015,55.604112,130.259536,130.259536,121.438909
"a_1__CA__almond-c__cn__rcp26","a_1","CA","cn","rcp26","almond-c","almond",2016,110.082345,247.408415,247.408415,398.797313
"a_1__CA__almond-c__cn__rcp60","a_1","CA","cn","rcp60","almond-c","almond",2016,49.677736,278.711269,278.711269,449.834964
"a_1__CA__almond-c__rn__rcp26","a_1","CA","rn","rcp26","almond-c","almond",2016,110.082345,247.408415,247.408415,398.797313
"a_1__CA__almond-c__rn__rcp60","a_1","CA","rn","rcp60","almond-c","almond",2016,49.677736,278.711269,278.711269,449.834964
"a_1__CA__almond-a__ct-lc__rcp26","a_1","CA","ct-lc","rcp26","almond-a","faba_bean",2016,559.275471,232.737539,232.737539,324.489838
"a_1__CA__almond-a__ct-lc__rcp60","a_1","CA","ct-lc","rcp60","almond-a","faba_bean",2016,1008.518839,521.684913,521.684913,727.349158
