"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"h_1__PNW__hops-a__ct-nc__rcp26","h_1","PNW","ct-nc","rcp26","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-a__ct-nc__rcp60","h_1","PNW","ct-nc","rcp60","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp26","h_1","PNW","nt-nc","rcp26","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp60","h_1","PNW","nt-nc","rcp60","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp26","h_1","PNW","rt-nc","rcp26","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp60","h_1","PNW","rt-nc","rcp60","hops-a","fallow",2013,0,0,0,0
"h_1__PNW__hops-c__cn__rcp26","h_1","PNW","cn","rcp26","hops-c","hops",2013,605.027119,228.818094,228.818094,444.58468
"h_1__PNW__hops-c__cn__rcp60","h_1","PNW","cn","rcp60","hops-c","hops",2013,605.312306,255.405334,255.405334,444.042905
"h_1__PNW__hops-c__on__rcp26","h_1","PNW","on","rcp26","hops-c","hops",2013,600.538372,185.27663,185.27663,389.568345
"h_1__PNW__hops-c__on__rcp60","h_1","PNW","on","rcp60","hops-c","hops",2013,611.647708,226.398304,226.398304,444.031689
"h_1__PNW__hops-a__ct-bc__rcp26","h_1","PNW","ct-bc","rcp26","hops-a","rye, winter, cover",2013,0,160.773434,160.773434,281.401302
"h_1__PNW__hops-a__ct-bc__rcp60","h_1","PNW","ct-bc","rcp60","hops-a","rye, winter, cover",2013,0,141.777725,141.777725,248.153164
"h_1__PNW__hops-a__nt-bc__rcp26","h_1","PNW","nt-bc","rcp26","hops-a","rye, winter, cover",2013,0,96.330455,96.330455,168.606932
"h_1__PNW__hops-a__nt-bc__rcp60","h_1","PNW","nt-bc","rcp60","hops-a","rye, winter, cover",2013,0,96.047748,96.047748,168.112111
"h_1__PNW__hops-a__rt-bc__rcp26","h_1","PNW","rt-bc","rcp26","hops-a","rye, winter, cover",2013,0,144.83365,144.83365,253.501942
"h_1__PNW__hops-a__rt-bc__rcp60","h_1","PNW","rt-bc","rcp60","hops-a","rye, winter, cover",2013,0,141.777725,141.777725,248.153164
"h_1__PNW__hops-a__ct-nc__rcp26","h_1","PNW","ct-nc","rcp26","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-a__ct-nc__rcp60","h_1","PNW","ct-nc","rcp60","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp26","h_1","PNW","nt-nc","rcp26","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp60","h_1","PNW","nt-nc","rcp60","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp26","h_1","PNW","rt-nc","rcp26","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp60","h_1","PNW","rt-nc","rcp60","hops-a","fallow",2014,0,0,0,0
"h_1__PNW__hops-c__cn__rcp26","h_1","PNW","cn","rcp26","hops-c","hops",2014,532.46592,224.472321,224.472321,446.111036
"h_1__PNW__hops-c__cn__rcp60","h_1","PNW","cn","rcp60","hops-c","hops",2014,672.472791,241.209457,241.209457,445.41444
"h_1__PNW__hops-c__on__rcp26","h_1","PNW","on","rcp26","hops-c","hops",2014,532.46592,196.770961,196.770961,413.667495
"h_1__PNW__hops-c__on__rcp60","h_1","PNW","on","rcp60","hops-c","hops",2014,695.531424,223.498742,223.498742,445.407836
"h_1__PNW__hops-a__ct-bc__rcp26","h_1","PNW","ct-bc","rcp26","hops-a","rye, winter, cover",2014,0,175.193957,175.193957,306.641505
"h_1__PNW__hops-a__ct-bc__rcp60","h_1","PNW","ct-bc","rcp60","hops-a","rye, winter, cover",2014,0,193.000795,193.000795,332.576858
"h_1__PNW__hops-a__nt-bc__rcp26","h_1","PNW","nt-bc","rcp26","hops-a","rye, winter, cover",2014,0,122.016094,122.016094,213.564435
"h_1__PNW__hops-a__nt-bc__rcp60","h_1","PNW","nt-bc","rcp60","hops-a","rye, winter, cover",2014,0,146.750706,146.750706,253.312988
"h_1__PNW__hops-a__rt-bc__rcp26","h_1","PNW","rt-bc","rcp26","hops-a","rye, winter, cover",2014,0,144.83365,144.83365,245.408927
"h_1__PNW__hops-a__rt-bc__rcp60","h_1","PNW","rt-bc","rcp60","hops-a","rye, winter, cover",2014,0,192.178255,192.178255,331.137168
"h_1__PNW__hops-a__ct-nc__rcp26","h_1","PNW","ct-nc","rcp26","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-a__ct-nc__rcp60","h_1","PNW","ct-nc","rcp60","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp26","h_1","PNW","nt-nc","rcp26","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp60","h_1","PNW","nt-nc","rcp60","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp26","h_1","PNW","rt-nc","rcp26","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp60","h_1","PNW","rt-nc","rcp60","hops-a","fallow",2015,0,0,0,0
"h_1__PNW__hops-c__cn__rcp26","h_1","PNW","cn","rcp26","hops-c","hops",2015,573.040723,257.484347,257.484347,447.648154
"h_1__PNW__hops-c__cn__rcp60","h_1","PNW","cn","rcp60","hops-c","hops",2015,641.496625,262.484684,262.484684,446.788202
"h_1__PNW__hops-c__on__rcp26","h_1","PNW","on","rcp26","hops-c","hops",2015,579.523814,252.445506,252.445506,447.645784
"h_1__PNW__hops-c__on__rcp60","h_1","PNW","on","rcp60","hops-c","hops",2015,646.345365,233.581701,233.581701,446.775987
"h_1__PNW__hops-a__ct-bc__rcp26","h_1","PNW","ct-bc","rcp26","hops-a","rye, winter, cover",2015,0,182.276097,182.276097,319.037354
"h_1__PNW__hops-a__ct-bc__rcp60","h_1","PNW","ct-bc","rcp60","hops-a","rye, winter, cover",2015,0,199.021318,199.021318,345.887508
"h_1__PNW__hops-a__nt-bc__rcp26","h_1","PNW","nt-bc","rcp26","hops-a","rye, winter, cover",2015,0,122.737351,122.737351,214.826849
"h_1__PNW__hops-a__nt-bc__rcp60","h_1","PNW","nt-bc","rcp60","hops-a","rye, winter, cover",2015,0,150.875205,150.875205,262.356318
"h_1__PNW__hops-a__rt-bc__rcp26","h_1","PNW","rt-bc","rcp26","hops-a","rye, winter, cover",2015,0,138.738031,138.738031,242.832797
"h_1__PNW__hops-a__rt-bc__rcp60","h_1","PNW","rt-bc","rcp60","hops-a","rye, winter, cover",2015,0,158.736785,158.736785,275.98325
"h_1__PNW__hops-a__ct-nc__rcp26","h_1","PNW","ct-nc","rcp26","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-a__ct-nc__rcp60","h_1","PNW","ct-nc","rcp60","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp26","h_1","PNW","nt-nc","rcp26","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-a__nt-nc__rcp60","h_1","PNW","nt-nc","rcp60","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp26","h_1","PNW","rt-nc","rcp26","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-a__rt-nc__rcp60","h_1","PNW","rt-nc","rcp60","hops-a","fallow",2016,0,0,0,0
"h_1__PNW__hops-c__cn__rcp26","h_1","PNW","cn","rcp26","hops-c","hops",2016,474.905377,255.324585,255.324585,449.163093
"h_1__PNW__hops-c__cn__rcp60","h_1","PNW","cn","rcp60","hops-c","hops",2016,511.985932,258.636482,258.636482,448.137624
"h_1__PNW__hops-c__on__rcp26","h_1","PNW","on","rcp26","hops-c","hops",2016,474.905377,255.598966,255.598966,449.163093
"h_1__PNW__hops-c__on__rcp60","h_1","PNW","on","rcp60","hops-c","hops",2016,511.985932,256.800871,256.800871,448.136559
"h_1__PNW__hops-a__ct-bc__rcp26","h_1","PNW","ct-bc","rcp26","hops-a","rye, winter, cover",2016,0,212.228536,212.228536,365.315595
"h_1__PNW__hops-a__ct-bc__rcp60","h_1","PNW","ct-bc","rcp60","hops-a","rye, winter, cover",2016,0,206.220312,206.220312,354.902147
"h_1__PNW__hops-a__nt-bc__rcp26","h_1","PNW","nt-bc","rcp26","hops-a","rye, winter, cover",2016,0,154.341441,154.341441,266.003971
"h_1__PNW__hops-a__nt-bc__rcp60","h_1","PNW","nt-bc","rcp60","hops-a","rye, winter, cover",2016,0,158.297178,158.297178,272.869658
"h_1__PNW__hops-a__rt-bc__rcp26","h_1","PNW","rt-bc","rcp26","hops-a","rye, winter, cover",2016,0,168.879744,168.879744,290.910685
