"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"v_1__CA__grape-a__ct-nc__rcp26","v_1","CA","ct-nc","rcp26","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__ct-nc__rcp60","v_1","CA","ct-nc","rcp60","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__nt-nc__rcp26","v_1","CA","nt-nc","rcp26","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__nt-nc__rcp60","v_1","CA","nt-nc","rcp60","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__rt-nc__rcp26","v_1","CA","rt-nc","rcp26","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__rt-nc__rcp60","v_1","CA","rt-nc","rcp60","grape-a","fallow",2013,0,0,0,0
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2014,76.928188,630.984017,630.984017,715.115219
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2014,775.198157,594.671651,594.671651,673.961204
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2014,58.882094,477.146289,477.146289,540.765794
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2014,375.958873,444.248201,444.248201,503.481294
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2014,78.640094,631.132381,631.132381,715.283365
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2014,777.224025,595.12797,595.12797,674.478367
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2014,1.656547,563.66364,563.66364,785.877191
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2014,27.303792,864.017048,864.017048,1204.639153
