"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2014,77.550921,627.003614,640.634127,726.052011
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2014,781.472058,590.920331,603.766425,684.268615
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2014,59.592723,601.226495,614.296636,696.202855
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2014,404.727172,516.035962,527.254135,597.554687
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2014,79.276674,627.151042,640.78476,726.222728
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2014,783.51432,591.373771,604.229723,684.793686
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2014,1.656547,563.66364,563.66364,785.877191
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2014,27.303792,864.017048,864.017048,1204.639153
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2014,1.834363,559.680055,559.680055,780.323154
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2014,25.177242,927.911331,927.911331,1293.722529
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2014,1.788975,564.496433,564.496433,787.038295
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2014,27.303782,866.142306,866.142306,1207.602254
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2014,282.224335,126.83026,93.131322,141.232547
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2014,281.342501,115.455377,64.965498,140.778779
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2014,282.224335,126.83026,93.131322,141.232547
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2014,281.33446,106.471875,64.965498,140.778779
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2015,288.647447,627.003614,640.634127,726.015708
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2015,905.219897,598.216901,611.221616,692.717831
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2015,218.414371,601.226495,614.296636,696.168044
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2015,497.322985,624.630954,638.209887,723.304539
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2015,290.136597,627.151042,640.78476,726.186417
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2015,905.509556,602.155408,615.245743,697.278509
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2015,439.934245,563.66364,563.66364,785.837897
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2015,464.027254,864.017048,864.017048,1204.639153
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2015,412.937858,559.680055,559.680055,780.284137
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2015,488.836038,927.911331,927.911331,1293.722529
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2015,440.969589,564.496433,564.496433,786.998944
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2015,463.1524,866.142306,866.142306,1207.602254
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2015,284.160018,142.068486,100.953276,142.201479
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2015,283.072411,141.524812,115.387562,141.655511
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2015,284.146159,116.452219,100.591386,142.201479
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2015,283.05333,125.09571,101.587903,141.655511
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2016,1240.978911,268.561076,274.39936,310.985942
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2016,1485.075267,736.495214,752.50598,852.84011
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2016,569.788676,290.679107,296.998218,336.597981
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2016,465.148162,624.630954,638.209887,723.304539
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2016,1241.779086,279.252073,285.32277,323.365806
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2016,470.433851,602.155408,615.245743,697.278509
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2016,750.756223,431.708507,431.708507,601.901283
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2016,2026.634789,1264.69613,1264.69613,1763.278258
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2016,754.245214,435.787293,435.787293,607.588052
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2016,1800.867507,1266.807057,1266.807057,1766.221378
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2016,749.208319,432.854642,432.854642,603.499261
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2016,1895.295306,1261.568613,1261.568613,1758.917778
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2016,286.086324,143.032799,106.027112,143.1684
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2016,283.01975,95.44812,95.44812,142.51248
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2016,261.198926,104.785322,104.785322,143.1684
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2016,255.452571,92.691368,92.691368,142.511187
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2017,1362.803743,773.432519,790.24627,895.612439
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2017,701.367272,838.700591,856.933213,971.190974
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2017,685.572267,580.868135,593.495703,672.628463
