STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USC00114710,"KEWANEE 1 E, IL US",41.2429,-89.8997,237.7,2012,783.8,11.1,17.2,4.9
USC00114833,"LAKE SPRINGFIELD, IL US",39.7578,-89.6044,177.1,2012,554.8,,,
USC00113666,"GREENFIELD, IL US",39.34242,-90.20599,164.6,2012,,,,
US1ILCP0001,"HOMER 2.0 N, IL US",40.060999,-87.96377,200.9,2012,852.6,,,
USW00014806,"RANTOUL, IL US",40.3131,-88.1596,230.1,2012,,13.4,19.7,7.1
USC00111447,"CHATSWORTH, IL US",40.75003,-88.28644,220.1,2012,684.1,,,
US1ILCP0047,"CHAMPAIGN 2.3 NNW, IL US",40.145699,-88.27378,232,2012,860.8,,,
US1ILSG0036,"SPRINGFIELD 3.0 SSE, IL US",39.74129,-89.621109,176.8,2012,622,,,
USC00117551,"RUSHVILLE, IL US",40.12762,-90.55913,205.1,2012,656,12.6,18.7,6.6
USW00093822,"SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US",39.84529,-89.68401,179.7,2012,764.2,14,20.3,7.8
US1ILLV0007,"CHATSWORTH 0.4 ESE, IL US",40.750708,-88.287005,221,2012,674.1,,,
USC00116769,"PHILO, IL US",40.00629,-88.15297,219.5,2012,839.1,,,
USC00110140,"ALTONA, IL US",41.1204,-90.1641,233.2,2012,801.8,11.1,17.6,4.6
USW00094870,"CHAMPAIGN URBANA WILLARD AIRPORT, IL US",40.0324,-88.27547,226.5,2012,743.8,13.1,19.3,6.8
USC00117896,"SHERMAN, IL US",39.889,-89.6161,177.1,2012,646.1,,,
USC00111236,"CAMP GROVE 2 SW, IL US",41.0524,-89.657,228.6,2012,749.5,,,
USC00112687,"EFFINGHAM, IL US",39.1181,-88.6244,190.5,2012,928.9,13.7,20.2,7.2
USC00113335,"GALVA, IL US",41.1738,-90.0351,246.9,2012,744.3,11.4,17.8,5
USC00112125,"DAHINDA 1 NE, IL US",40.937,-90.088,179.8,2012,,,,
USC00112685,"EFFINGHAM SE, IL US",39.1065,-88.5312,161.8,2012,812.2,,,
USC00115917,"MOUNT OLIVE 1 E, IL US",39.07273,-89.70138,204.2,2012,900.7,,,
USC00110500,"BEECHER CITY, IL US",39.18122,-88.78266,185.3,2012,1033,,,
USC00114108,"HILLSBORO, IL US",39.16103,-89.49201,192,2012,,,,
US1ILCP0037,"SIDNEY 0.9 N, IL US",40.036727,-88.070112,200.9,2012,847.2,,,
US1ILCP0082,"SAVOY 0.9 N, IL US",40.0780699,-88.253663,224.3,2012,844.2,,,
USC00118194,"ST ANNE, IL US",41.02253,-87.71437,203,2012,868.1,,,
