"site","rcp","fit.1mo","month","year","dat","ns","fit.12mo","season","fit.12mo.ssnavg","spcat12mo","spcat12mossn"
"IL-n_1","rcp60",2.01850988300674,"Jan",2022,"Jan 2022","North",NA,"Winter",NA,NA,NA
"IL-n_1","rcp60",0.542027152456498,"Feb",2022,"Feb 2022","North",NA,"Winter",NA,NA,NA
"IL-n_1","rcp60",-0.625878116929912,"Mar",2022,"Mar 2022","North",NA,"Spring",NA,NA,NA
"IL-n_1","rcp60",-0.539444144271887,"Apr",2022,"Apr 2022","North",NA,"Spring",NA,NA,NA
"IL-n_1","rcp60",0.195796978547258,"May",2022,"May 2022","North",NA,"Spring",NA,NA,NA
"IL-n_1","rcp60",-0.300634575711807,"Jun",2022,"Jun 2022","North",NA,"Summer",NA,NA,NA
"IL-n_1","rcp60",-0.904757834210727,"Jul",2022,"Jul 2022","North",NA,"Summer",NA,NA,NA
"IL-n_1","rcp60",-0.40835492637767,"Aug",2022,"Aug 2022","North",NA,"Summer",NA,NA,NA
"IL-n_1","rcp60",0.249746055277989,"Sep",2022,"Sep 2022","North",NA,"Fall",NA,NA,NA
"IL-n_1","rcp60",0.816475573882639,"Oct",2022,"Oct 2022","North",NA,"Fall",NA,NA,NA
"IL-n_1","rcp60",1.73316814900429,"Nov",2022,"Nov 2022","North",NA,"Fall",NA,NA,NA
"IL-n_1","rcp60",-1.48481945077884,"Dec",2022,"Dec 2022","North",0.0651857414859428,"Winter",NA,"Normal",NA
"IL-n_1","rcp60",0.217066272329417,"Jan",2023,"Jan 2023","North",-0.210502102328095,"Winter",-0.167961901636548,"Normal","Normal"
"IL-n_1","rcp60",-0.0449657850796834,"Feb",2023,"Feb 2023","North",-0.297179891588588,"Winter",-0.167961901636548,"Normal","Normal"
"IL-n_1","rcp60",-0.396072966474098,"Mar",2023,"Mar 2023","North",-0.313478525612901,"Spring",-0.235185168303077,"Normal","Normal"
"IL-n_1","rcp60",-0.243228256839981,"Apr",2023,"Apr 2023","North",-0.317811231550279,"Spring",-0.235185168303077,"Normal","Normal"
"IL-n_1","rcp60",1.06107294643612,"May",2023,"May 2023","North",-0.0742657477460504,"Spring",-0.235185168303077,"Normal","Normal"
"IL-n_1","rcp60",-0.484704159076443,"Jun",2023,"Jun 2023","North",-0.117799662154009,"Summer",0.196805195971106,"Normal","Normal"
"IL-n_1","rcp60",0.727625627147868,"Jul",2023,"Jul 2023","North",0.45566531710212,"Summer",0.196805195971106,"Normal","Normal"
"IL-n_1","rcp60",-1.26558784165427,"Aug",2023,"Aug 2023","North",0.252549932965206,"Summer",0.196805195971106,"Normal","Normal"
"IL-n_1","rcp60",1.11950334375745,"Sep",2023,"Sep 2023","North",0.447188983976143,"Fall",0.192347252595706,"Normal","Normal"
"IL-n_1","rcp60",-0.632478848708339,"Oct",2023,"Oct 2023","North",0.201984082695817,"Fall",0.192347252595706,"Normal","Normal"
"IL-n_1","rcp60",0.665457219100419,"Nov",2023,"Nov 2023","North",-0.0721313088848434,"Fall",0.192347252595706,"Normal","Normal"
"IL-n_1","rcp60",-0.733867971577699,"Dec",2023,"Dec 2023","North",0.00379628900703921,"Winter",-0.167961901636548,"Normal","Normal"
"IL-n_1","rcp60",0.158660089759571,"Jan",2024,"Jan 2024","North",0.0156155355250665,"Winter",-0.100842913136212,"Normal","Normal"
"IL-n_1","rcp60",0.712230234276414,"Feb",2024,"Feb 2024","North",0.129689902719784,"Winter",-0.100842913136212,"Normal","Normal"
"IL-n_1","rcp60",-0.261583985360459,"Mar",2024,"Mar 2024","North",0.11122477345838,"Spring",0.0796600151076999,"Normal","Normal"
"IL-n_1","rcp60",0.270469387925261,"Apr",2024,"Apr 2024","North",0.197441636926201,"Spring",0.0796600151076999,"Normal","Normal"
"IL-n_1","rcp60",0.10948181664572,"May",2024,"May 2024","North",-0.0696863650614813,"Spring",0.0796600151076999,"Normal","Normal"
"IL-n_1","rcp60",-0.0781551721786101,"Jun",2024,"Jun 2024","North",0.0511792494956949,"Summer",-0.248372340058905,"Normal","Normal"
"IL-n_1","rcp60",-1.01342957104338,"Jul",2024,"Jul 2024","North",-0.482308681408812,"Summer",-0.248372340058905,"Normal","Normal"
"IL-n_1","rcp60",-0.394795340752117,"Aug",2024,"Aug 2024","North",-0.313987588263599,"Summer",-0.248372340058905,"Normal","Normal"
"IL-n_1","rcp60",-0.518143229049991,"Sep",2024,"Sep 2024","North",-0.612736998685539,"Fall",-0.452921564675994,"Abnormally Dry","Normal"
"IL-n_1","rcp60",0.905301282258365,"Oct",2024,"Oct 2024","North",-0.329006708809691,"Fall",-0.452921564675994,"Normal","Normal"
"IL-n_1","rcp60",0.0649481292931436,"Nov",2024,"Nov 2024","North",-0.417020986532752,"Fall",-0.452921564675994,"Normal","Normal"
"IL-n_1","rcp60",-0.899367480811705,"Dec",2024,"Dec 2024","North",-0.447834177653488,"Winter",-0.100842913136212,"Normal","Normal"
"IL-n_1","rcp60",-0.129713903039905,"Jan",2025,"Jan 2025","North",-0.474969185283406,"Winter",0.082632316815014,"Normal","Normal"
"IL-n_1","rcp60",1.72605697979896,"Feb",2025,"Feb 2025","North",-0.309844576929502,"Winter",0.082632316815014,"Normal","Normal"
"IL-n_1","rcp60",0.604127715101875,"Mar",2025,"Mar 2025","North",-0.19623334876921,"Spring",-0.170767204235038,"Normal","Normal"
"IL-n_1","rcp60",0.589481711405827,"Apr",2025,"Apr 2025","North",-0.169388538853476,"Spring",-0.170767204235038,"Normal","Normal"
"IL-n_1","rcp60",0.19117490961911,"May",2025,"May 2025","North",-0.146679725082429,"Spring",-0.170767204235038,"Normal","Normal"
"IL-n_1","rcp60",0.936780665063467,"Jun",2025,"Jun 2025","North",0.226308319136457,"Summer",0.527605679552612,"Normal","Abnormally Wet"
