"site","rcp","fit.1mo","month","year","dat","fit.12mo","season","fit.12mo.ssnavg","spcat12mo","spcat12mossn"
"f_1","rcp60",1.07105725842078,"Jan",2022,"Jan 2022",NA,"Winter",NA,NA,NA
"f_1","rcp60",-1.4184019811243,"Feb",2022,"Feb 2022",NA,"Winter",NA,NA,NA
"f_1","rcp60",0.183424631524423,"Mar",2022,"Mar 2022",NA,"Spring",NA,NA,NA
"f_1","rcp60",0.1255021103075,"Apr",2022,"Apr 2022",NA,"Spring",NA,NA,NA
"f_1","rcp60",0.751207227206853,"May",2022,"May 2022",NA,"Spring",NA,NA,NA
"f_1","rcp60",-0.0237427571855336,"Jun",2022,"Jun 2022",NA,"Summer",NA,NA,NA
"f_1","rcp60",1.88463864834096,"Jul",2022,"Jul 2022",NA,"Summer",NA,NA,NA
"f_1","rcp60",0.678963869707258,"Aug",2022,"Aug 2022",NA,"Summer",NA,NA,NA
"f_1","rcp60",0.325610342697407,"Sep",2022,"Sep 2022",NA,"Fall",NA,NA,NA
"f_1","rcp60",1.98376357781084,"Oct",2022,"Oct 2022",NA,"Fall",NA,NA,NA
"f_1","rcp60",0.395678526737447,"Nov",2022,"Nov 2022",NA,"Fall",NA,NA,NA
"f_1","rcp60",0.717551066774497,"Dec",2022,"Dec 2022",1.45932776332548,"Winter",NA,"Severely Wet",NA
"f_1","rcp60",0.945916566566117,"Jan",2023,"Jan 2023",1.46403215956244,"Winter",1.35395028351508,"Severely Wet","Severely Wet"
"f_1","rcp60",-0.609698217236764,"Feb",2023,"Feb 2023",1.59127102642254,"Winter",1.35395028351508,"Severely Wet","Severely Wet"
"f_1","rcp60",1.7483326661205,"Mar",2023,"Mar 2023",1.71274934532538,"Spring",1.86340750258464,"Extremely Wet","Extremely Wet"
"f_1","rcp60",-0.149620040737455,"Apr",2023,"Apr 2023",1.82545148380273,"Spring",1.86340750258464,"Extremely Wet","Extremely Wet"
"f_1","rcp60",1.42356397388906,"May",2023,"May 2023",2.0520216786258,"Spring",1.86340750258464,"Exceptionally Wet","Extremely Wet"
"f_1","rcp60",-0.0190868313648107,"Jun",2023,"Jun 2023",2.13974317173473,"Summer",1.90810205039876,"Exceptionally Wet","Extremely Wet"
"f_1","rcp60",1.03677401019293,"Jul",2023,"Jul 2023",1.86882833914524,"Summer",1.90810205039876,"Extremely Wet","Extremely Wet"
"f_1","rcp60",-0.145177889064584,"Aug",2023,"Aug 2023",1.71573464031631,"Summer",1.90810205039876,"Extremely Wet","Extremely Wet"
