"site","rcp","fit.1mo","dat","fit.12mo"
"a_1","rcp26",0.520743781591753,Jan 2022,NA
"a_1","rcp26",0.239791839793869,Feb 2022,NA
"a_1","rcp26",0.388862629166041,Mar 2022,NA
"a_1","rcp26",-1.33365362400012,Apr 2022,NA
"a_1","rcp26",-0.553533112750224,May 2022,NA
"a_1","rcp26",0.232245147459129,Jun 2022,NA
"a_1","rcp26",1.44270372676142,Jul 2022,NA
"a_1","rcp26",-0.790741009445351,Aug 2022,NA
"a_1","rcp26",-0.0866954768445216,Sep 2022,NA
"a_1","rcp26",1.6080681211649,Oct 2022,NA
"a_1","rcp26",0.278873926683615,Nov 2022,NA
"a_1","rcp26",-0.294578517546508,Dec 2022,0.106749999784585
"a_1","rcp26",1.1821048513689,Jan 2023,0.389017458864267
"a_1","rcp26",2.08012204877164,Feb 2023,1.06634172443079
"a_1","rcp26",1.26056519011173,Mar 2023,1.31345956481888
"a_1","rcp26",1.08210624419942,Apr 2023,1.58553120600256
"a_1","rcp26",1.33724179283194,May 2023,1.77239456143824
"a_1","rcp26",0.306478067343889,Jun 2023,1.72917313635134
"a_1","rcp26",-0.231273287498071,Jul 2023,1.60091269522392
"a_1","rcp26",-0.109416578600097,Aug 2023,1.60839159389072
"a_1","rcp26",-1.27850204411569,Sep 2023,1.54641341790759
"a_1","rcp26",-1.19490694130622,Oct 2023,1.37307240198684
"a_1","rcp26",-0.851429378335587,Nov 2023,1.31222704389083
"a_1","rcp26",-0.567017748038383,Dec 2023,1.36329653367936
"a_1","rcp26",-0.53941380009369,Jan 2024,1.08301190887194
"a_1","rcp26",-0.467643162608766,Feb 2024,0.314063945646977
"a_1","rcp26",-0.143651537337096,Mar 2024,-0.193161554184034
"a_1","rcp26",0.197116450337568,Apr 2024,-0.420974033743793
"a_1","rcp26",-0.642033509802657,May 2024,-0.881309309187139
"a_1","rcp26",-0.225264081444894,Jun 2024,-0.948695123002263
"a_1","rcp26",-1.40656697241709,Jul 2024,-1.07652409706134
"a_1","rcp26",-0.811584279531337,Aug 2024,-1.1175493054833
"a_1","rcp26",-0.764849848833531,Sep 2024,-1.06891923615075
"a_1","rcp26",-0.516722380853539,Oct 2024,-1.02389955364787
"a_1","rcp26",-0.154510265097985,Nov 2024,-0.954889018737435
"a_1","rcp26",2.06053955419119,Dec 2024,-0.319665260181801
"a_1","rcp26",1.42891477925681,Jan 2025,0.335063377425607
"a_1","rcp26",0.201005438030205,Feb 2025,0.509371536047326
"a_1","rcp26",0.109465149971208,Mar 2025,0.578007008237803
"a_1","rcp26",0.093393464196704,Apr 2025,0.50524850313771
"a_1","rcp26",0.904430573005867,May 2025,0.76589251691356
"a_1","rcp26",1.59777906551481,Jun 2025,0.9534886451582
"a_1","rcp26",-0.782287536017275,Jul 2025,0.974760964278913
"a_1","rcp26",-0.586637681621845,Aug 2025,0.965548762453241
"a_1","rcp26",-1.53763179888533,Sep 2025,0.918751993390092
"a_1","rcp26",0.114160275023609,Oct 2025,0.985673390503509
"a_1","rcp26",-0.0437472681807084,Nov 2025,0.98313260057046
"a_1","rcp26",0.0171602430038752,Dec 2025,0.5190126950927
"a_1","rcp26",-0.550148966002381,Jan 2026,-0.0647671964803357
"a_1","rcp26",0.138753267825783,Feb 2026,-0.0239916489303393
"a_1","rcp26",-1.21232162026154,Mar 2026,-0.436893819897752
"a_1","rcp26",0.139810027158416,Apr 2026,-0.417517831853102
"a_1","rcp26",-0.557126711711163,May 2026,-0.72900232345594
"a_1","rcp26",-0.28009990147517,Jun 2026,-0.968993366068891
"a_1","rcp26",0.478685297248392,Jul 2026,-0.729690712916468
"a_1","rcp26",-1.99424680060233,Aug 2026,-0.912039803271988
"a_1","rcp26",0.743016115514296,Sep 2026,-0.694786597701406
"a_1","rcp26",0.853063359919461,Oct 2026,-0.620693469172287
"a_1","rcp26",0.474797474811373,Nov 2026,-0.575477133500898
"a_1","rcp26",0.8554369479421,Dec 2026,-0.480941268776933
"a_1","rcp26",-0.704884801716033,Jan 2027,-0.529643143454086
"a_1","rcp26",-0.342491814558131,Feb 2027,-0.595271679502024
"a_1","rcp26",-0.335855415715301,Mar 2027,-0.38932348946463
"a_1","rcp26",-1.22544204003544,Apr 2027,-0.717685580850851
"a_1","rcp26",-1.22618436413219,May 2027,-0.828418857952984
"a_1","rcp26",-1.49739050600993,Jun 2027,-1.12323182952892
"a_1","rcp26",0.639712063987628,Jul 2027,-1.01743339185475
"a_1","rcp26",0.849897050983992,Aug 2027,-0.621299483394455
"a_1","rcp26",0.877902015316318,Sep 2027,-0.59864028477173
"a_1","rcp26",-0.406353290441333,Oct 2027,-0.776736327946108
"a_1","rcp26",0.816806728096673,Nov 2027,-0.737533028312984
"a_1","rcp26",-0.440074079880088,Dec 2027,-1.0013528831758
"a_1","rcp26",-0.735834322485934,Jan 2028,-1.07884957847178
"a_1","rcp26",-1.09660265863599,Feb 2028,-1.22281305969195
"a_1","rcp26",-0.211295939347927,Mar 2028,-1.26638768558309
"a_1","rcp26",0.8995262365018,Apr 2028,-0.652095926790741
"a_1","rcp26",-1.14654806509594,May 2028,-0.614046328054816
"a_1","rcp26",-1.99048717274802,Jun 2028,-0.802329263160018
"a_1","rcp26",-2.18599721213334,Jul 2028,-1.24363626054693
"a_1","rcp26",-0.773396127114106,Aug 2028,-1.37203079889034
"a_1","rcp26",-0.801327266383437,Sep 2028,-1.53014687630987
"a_1","rcp26",-0.466900305323274,Oct 2028,-1.57473726102523
"a_1","rcp26",1.36494586627425,Nov 2028,-1.45145746698028
"a_1","rcp26",0.779668606494124,Dec 2028,-1.36994552692268
"a_1","rcp26",0.5625991450229,Jan 2029,-1.18232027649206
"a_1","rcp26",-0.607696768727082,Feb 2029,-1.07028460019498
"a_1","rcp26",-1.19098985502308,Mar 2029,-1.4495542037903
"a_1","rcp26",-0.305734639494429,Apr 2029,-1.61733697766979
"a_1","rcp26",0.743274050233044,May 2029,-1.17618715557457
"a_1","rcp26",-0.345254794828443,Jun 2029,-0.648352020490792
"a_1","rcp26",-0.945977146351877,Jul 2029,-0.364680925159485
"a_1","rcp26",0.872454986031481,Aug 2029,-0.180164832017155
"a_1","rcp26",-0.547824273536064,Sep 2029,-0.146210955976471
"a_1","rcp26",-1.43377204295484,Oct 2029,-0.261358092333062
"a_1","rcp26",-1.19511502081771,Nov 2029,-0.56423080856435
"a_1","rcp26",-0.635741559198046,Dec 2029,-0.824577940263671
"a_1","rcp26",0.377531268218231,Jan 2030,-0.93748106172439
"a_1","rcp26",0.697460649257401,Feb 2030,-0.563586000961023
"a_1","rcp26",0.144356361043184,Mar 2030,-0.214080049620535
"a_1","rcp26",-1.00072195201727,Apr 2030,-0.390354104359308
"a_1","rcp26",0.44433336277137,May 2030,-0.447843689303579
"a_1","rcp26",0.958853844327265,Jun 2030,-0.218882440256748
"a_1","rcp26",-0.409461512668385,Jul 2030,-0.1576536638132
"a_1","rcp26",-0.318600512561806,Aug 2030,-0.280535354271654
"a_1","rcp26",1.28781691587579,Sep 2030,-0.0968351034044255
