Year,State Name,County Name, Cover Crop (% acres),2022 NT (% acres),2022 RT (% acres),2022 IT (% acres)
2017,Illinois,Ford,2.427462104,25.35129458,50.35686437,24.29184105
2017,Illinois,Livingston,2.384269608,24.49403773,43.59775152,31.90821075
2017,Illinois,Macoupin,4.266858319,18.68978154,42.45220952,38.85800894
2017,Illinois,Montgomery,3.263619735,17.40143076,44.22607327,38.37249598
2017,New York,Genesee,14.84375725,14.16537867,45.52163833,40.312983
2017,New York,Livingston,15.20668426,22.22691526,45.8054265,31.96765824
2017,New York,Montgomery,9.34223954,18.82488627,30.79067085,50.38444288
2022,Illinois,Ford,4.705135742,31.45002431,47.81049873,20.73947696
2022,Illinois,Livingston,3.50118154,24.14060513,48.20598971,27.65340516
2022,Illinois,Macoupin,5.801741634,27.57538968,43.25197806,29.17263225
2022,Illinois,Montgomery,2.629704151,13.80984081,54.35423305,31.83592614
2022,New York,Genesee,18.51765096,19.02743469,53.34325174,27.62931357
2022,New York,Livingston,14.66682014,21.41932497,50.37334865,28.20732638
2022,New York,Montgomery,13.92841333,30.11744702,27.90075254,41.98180043
