"state","county","variable","mean.perc","mean.eval","rank"
"IL","Douglas County","perc_ct",42.8,96.7,1
"IL","Coles County","perc_ct",42.6,107,2
"IL","Sangamon County","perc_ct",38.8,74.3,3
"IL","Tazewell County","perc_ct",35.1,92.9,4
"IL","Christian County","perc_ct",33.1,95.9,5
"IL","Moultrie County","perc_ct",31.7,87,6
"IL","Edgar County","perc_ct",31.6,104.9,7
"IL","Gallatin County","perc_ct",30.9,77,8
"IL","Champaign County","perc_ct",30.8,94.2,9
"IL","Morgan County","perc_ct",30.6,92.2,10
"IL","LaSalle County","perc_ct",30.4,96,11
"IL","Bureau County","perc_ct",29.9,98.2,12
"IL","Lee County","perc_ct",29.1,95.2,13
"IL","Pike County","perc_ct",28.4,80.2,14
"IL","Piatt County","perc_ct",28,96.1,15
"IL","Woodford County","perc_ct",26.8,92.1,16
"IL","Marshall County","perc_ct",26.4,93.7,17
"IL","McDonough County","perc_ct",25.4,90.9,18
"IL","Stark County","perc_ct",24.3,86.5,19
"IL","Macon County","perc_ct",23.6,102.2,20
"IL","Macoupin County","perc_ct",22.9,93.7,21
"IL","Mason County","perc_ct",22.8,79.6,22
"IL","Monroe County","perc_ct",22.6,64.6,23
"IL","McLean County","perc_ct",22.5,105.3,24
"IL","Livingston County","perc_ct",22.3,98.4,25
"IL","McHenry County","perc_ct",22.2,79.2,26
"IL","Ford County","perc_ct",21.6,104,27
"IL","DeKalb County","perc_ct",21.3,85.8,28
"IL","Menard County","perc_ct",21.1,100,29
"IL","Wabash County","perc_ct",21.1,86,30
"IL","Whiteside County","perc_ct",21.1,90,31
"IL","Cass County","perc_ct",21,84.8,32
"IL","Clark County","perc_ct",21,78.8,33
"IL","Logan County","perc_ct",20.9,98.1,34
"IL","Vermilion County","perc_ct",20.7,94.2,35
"IL","Scott County","perc_ct",20.4,73.9,36
"IL","DeWitt County","perc_ct",20.3,114.3,37
"IL","Lawrence County","perc_ct",20,67,38
"IL","Grundy County","perc_ct",19.7,83.1,39
"IL","Iroquois County","perc_ct",19.5,94,40
"IL","Kendall County","perc_ct",19.4,95.6,41
"IL","Boone County","perc_ct",19.1,108.5,42
"IL","Kankakee County","perc_ct",19.1,101.3,43
"IL","Warren County","perc_ct",19,87.1,44
"IL","Hancock County","perc_ct",18.7,82.6,45
"IL","Peoria County","perc_ct",18.5,81.5,46
"IL","Shelby County","perc_ct",18.4,104,47
"IL","Montgomery County","perc_ct",17.7,78.1,48
"IL","Henderson County","perc_ct",17.6,92.4,49
"IL","Adams County","perc_ct",16.9,69,50
"IL","Saline County","perc_ct",16.4,83.6,51
"IL","Kane County","perc_ct",14.8,80.5,52
"IL","Crawford County","perc_ct",13.9,83.6,53
"IL","Ogle County","perc_ct",13.8,97,54
"IL","Richland County","perc_ct",13.7,90.6,55
"IL","Madison County","perc_ct",13.2,71,56
"IL","White County","perc_ct",12.8,75.4,57
"IL","St. Clair County","perc_ct",12.1,80.6,58
"IL","Jersey County","perc_ct",12,73.3,59
"IL","Hamilton County","perc_ct",11.9,87.7,60
"IL","Greene County","perc_ct",11.7,94.6,61
"IL","Fulton County","perc_ct",11,78,62
"IL","Stephenson County","perc_ct",11,82.2,63
"IL","Clinton County","perc_ct",10.9,79,64
"IL","Wayne County","perc_ct",10.6,80.3,65
"IL","Schuyler County","perc_ct",10.4,70.8,66
"IL","Mercer County","perc_ct",10,92.4,67
"IL","Rock Island County","perc_ct",10,81.4,68
"IL","Clay County","perc_ct",9.9,65.3,69
"IL","Henry County","perc_ct",9.9,86.9,70
"IL","Washington County","perc_ct",8.8,58.5,71
"IL","Knox County","perc_ct",8.7,74.1,72
"IL","Cumberland County","perc_ct",8.3,96.9,73
"IL","Marion County","perc_ct",8.2,80.7,74
"IL","Edwards County","perc_ct",8,80.1,75
"IL","Winnebago County","perc_ct",7.9,84.8,76
"IL","Will County","perc_ct",7.5,93.3,77
"IL","Effingham County","perc_ct",7.4,66.3,78
"IL","Randolph County","perc_ct",7.4,59.4,79
"IL","Jasper County","perc_ct",7.3,96,80
"IL","Carroll County","perc_ct",6.7,81,81
"IL","Fayette County","perc_ct",6.7,80.7,82
"IL","Jackson County","perc_ct",6.2,57.1,83
"IL","Jefferson County","perc_ct",5,58.1,84
"IL","Bond County","perc_ct",4.1,90.3,85
"IL","Franklin County","perc_ct",3.7,68.2,86
"IL","Perry County","perc_ct",3.5,70.7,87
"IL","Pulaski County","perc_ct",3,65.3,88
"IL","Massac County","perc_ct",2.9,58.6,89
"IL","Monroe County","perc_cc",28.9,64.6,1
"IL","St. Clair County","perc_cc",28.1,80.6,2
"IL","White County","perc_cc",27.4,75.4,3
"IL","Randolph County","perc_cc",21.9,59.4,4
"IL","Edwards County","perc_cc",20.7,80.1,5
"IL","Massac County","perc_cc",20.5,58.6,6
"IL","Pulaski County","perc_cc",19.2,65.3,7
"IL","Gallatin County","perc_cc",18,77,8
"IL","Lawrence County","perc_cc",17.6,67,9
"IL","Franklin County","perc_cc",16.8,68.2,10
"IL","Clinton County","perc_cc",16.1,79,11
"IL","Wayne County","perc_cc",15.8,80.3,12
"IL","Hamilton County","perc_cc",14.8,87.7,13
"IL","Madison County","perc_cc",13.8,71,14
"IL","Crawford County","perc_cc",13.5,83.6,15
"IL","Richland County","perc_cc",13.4,90.6,16
"IL","Jefferson County","perc_cc",13,58.1,17
"IL","Clay County","perc_cc",12.7,65.3,18
"IL","Greene County","perc_cc",11.8,94.6,19
"IL","Jersey County","perc_cc",11.2,73.3,20
"IL","Perry County","perc_cc",11.1,70.7,21
"IL","Saline County","perc_cc",11.1,83.6,22
"IL","Scott County","perc_cc",10.6,73.9,23
"IL","Wabash County","perc_cc",10.5,86,24
"IL","Bond County","perc_cc",10.4,90.3,25
"IL","Washington County","perc_cc",9.7,58.5,26
"IL","Mason County","perc_cc",9.5,79.6,27
"IL","Marion County","perc_cc",8.8,80.7,28
"IL","Effingham County","perc_cc",8.5,66.3,29
"IL","Fayette County","perc_cc",7.9,80.7,30
"IL","Morgan County","perc_cc",7.6,92.2,31
"IL","Pike County","perc_cc",7.5,80.2,32
"IL","Jasper County","perc_cc",7,96,33
"IL","Jackson County","perc_cc",6.9,57.1,34
"IL","Cass County","perc_cc",6.5,84.8,35
"IL","Tazewell County","perc_cc",6.5,92.9,36
"IL","Macoupin County","perc_cc",6.4,93.7,37
"IL","Adams County","perc_cc",6.2,69,38
"IL","Clark County","perc_cc",6.1,78.8,39
"IL","Winnebago County","perc_cc",5.9,84.8,40
"IL","Cumberland County","perc_cc",5.8,96.9,41
"IL","Schuyler County","perc_cc",5.8,70.8,42
"IL","McHenry County","perc_cc",5.5,79.2,43
"IL","Menard County","perc_cc",4.9,100,44
"IL","Montgomery County","perc_cc",4.9,78.1,45
"IL","Sangamon County","perc_cc",4.9,74.3,46
"IL","Fulton County","perc_cc",4.8,78,47
"IL","Peoria County","perc_cc",4.8,81.5,48
"IL","Rock Island County","perc_cc",4.7,81.4,49
"IL","Marshall County","perc_cc",4.3,93.7,50
"IL","Stephenson County","perc_cc",4.3,82.2,51
"IL","Shelby County","perc_cc",4.2,104,52
"IL","Boone County","perc_cc",4.1,108.5,53
"IL","Whiteside County","perc_cc",4,90,54
"IL","Will County","perc_cc",3.6,93.3,55
"IL","Woodford County","perc_cc",3.5,92.1,56
"IL","Edgar County","perc_cc",3.4,104.9,57
"IL","Kankakee County","perc_cc",3.4,101.3,58
"IL","Bureau County","perc_cc",3.3,98.2,59
"IL","Coles County","perc_cc",3.1,107,60
"IL","Henderson County","perc_cc",3,92.4,61
"IL","Carroll County","perc_cc",2.9,81,62
"IL","Logan County","perc_cc",2.9,98.1,63
"IL","Hancock County","perc_cc",2.8,82.6,64
"IL","Knox County","perc_cc",2.7,74.1,65
"IL","Douglas County","perc_cc",2.6,96.7,66
"IL","Mercer County","perc_cc",2.6,92.4,67
"IL","Warren County","perc_cc",2.5,87.1,68
"IL","Moultrie County","perc_cc",2.4,87,69
"IL","Vermilion County","perc_cc",2.3,94.2,70
"IL","Henry County","perc_cc",2.1,86.9,71
"IL","Ogle County","perc_cc",2.1,97,72
"IL","Christian County","perc_cc",2,95.9,73
"IL","LaSalle County","perc_cc",2,96,74
"IL","Lee County","perc_cc",2,95.2,75
"IL","Macon County","perc_cc",1.8,102.2,76
"IL","Champaign County","perc_cc",1.7,94.2,77
"IL","Iroquois County","perc_cc",1.7,94,78
"IL","DeKalb County","perc_cc",1.6,85.8,79
"IL","Piatt County","perc_cc",1.6,96.1,80
"IL","Kane County","perc_cc",1.4,80.5,81
"IL","Kendall County","perc_cc",1.4,95.6,82
"IL","Stark County","perc_cc",1.4,86.5,83
"IL","McDonough County","perc_cc",1.3,90.9,84
"IL","McLean County","perc_cc",1.3,105.3,85
"IL","Grundy County","perc_cc",1.1,83.1,86
"IL","DeWitt County","perc_cc",1,114.3,87
"IL","Livingston County","perc_cc",0.8,98.4,88
"IL","Ford County","perc_cc",0.7,104,89
"IL","Massac County","perc_nt",75.4,58.6,1
"IL","Pulaski County","perc_nt",71.1,65.3,2
"IL","Perry County","perc_nt",65.6,70.7,3
"IL","Jackson County","perc_nt",63.1,57.1,4
"IL","Randolph County","perc_nt",63,59.4,5
"IL","Bond County","perc_nt",62.9,90.3,6
"IL","Franklin County","perc_nt",60.2,68.2,7
"IL","Fayette County","perc_nt",59.7,80.7,8
"IL","Will County","perc_nt",59.7,93.3,9
"IL","Fulton County","perc_nt",59.6,78,10
"IL","Jefferson County","perc_nt",57.2,58.1,11
"IL","Schuyler County","perc_nt",53.2,70.8,12
"IL","Edwards County","perc_nt",51.8,80.1,13
"IL","Knox County","perc_nt",51.6,74.1,14
"IL","Washington County","perc_nt",50.4,58.5,15
"IL","Effingham County","perc_nt",49.9,66.3,16
"IL","Cumberland County","perc_nt",49.4,96.9,17
"IL","Jersey County","perc_nt",49.4,73.3,18
"IL","White County","perc_nt",49.1,75.4,19
"IL","Greene County","perc_nt",48.9,94.6,20
"IL","Jasper County","perc_nt",48.9,96,21
"IL","Wayne County","perc_nt",47.4,80.3,22
"IL","Clay County","perc_nt",46.9,65.3,23
"IL","Crawford County","perc_nt",46.4,83.6,24
"IL","Scott County","perc_nt",45.1,73.9,25
"IL","Marion County","perc_nt",45,80.7,26
"IL","Winnebago County","perc_nt",44.7,84.8,27
"IL","Henry County","perc_nt",44.1,86.9,28
"IL","Rock Island County","perc_nt",43.9,81.4,29
"IL","Hamilton County","perc_nt",43.4,87.7,30
"IL","Mercer County","perc_nt",43.3,92.4,31
"IL","Stephenson County","perc_nt",43.1,82.2,32
"IL","Clinton County","perc_nt",42.2,79,33
"IL","St. Clair County","perc_nt",41.9,80.6,34
"IL","Adams County","perc_nt",41.2,69,35
"IL","Richland County","perc_nt",40.9,90.6,36
"IL","Carroll County","perc_nt",40.3,81,37
"IL","Cass County","perc_nt",40.1,84.8,38
"IL","Saline County","perc_nt",39.5,83.6,39
"IL","Kendall County","perc_nt",38.9,95.6,40
"IL","Grundy County","perc_nt",38.2,83.1,41
"IL","Lawrence County","perc_nt",37.9,67,42
"IL","Hancock County","perc_nt",37.5,82.6,43
"IL","Monroe County","perc_nt",37.3,64.6,44
"IL","Madison County","perc_nt",37,71,45
"IL","Kankakee County","perc_nt",36.9,101.3,46
"IL","Kane County","perc_nt",36,80.5,47
"IL","Vermilion County","perc_nt",35.8,94.2,48
"IL","Montgomery County","perc_nt",35.2,78.1,49
"IL","McLean County","perc_nt",34.7,105.3,50
"IL","Clark County","perc_nt",34.2,78.8,51
"IL","Iroquois County","perc_nt",33.9,94,52
"IL","Peoria County","perc_nt",33.8,81.5,53
"IL","Shelby County","perc_nt",33.5,104,54
"IL","Livingston County","perc_nt",33.1,98.4,55
"IL","McDonough County","perc_nt",33.1,90.9,56
"IL","DeWitt County","perc_nt",33,114.3,57
"IL","Henderson County","perc_nt",33,92.4,58
"IL","Warren County","perc_nt",32.8,87.1,59
"IL","Ogle County","perc_nt",32.7,97,60
"IL","Menard County","perc_nt",32.2,100,61
"IL","Wabash County","perc_nt",31,86,62
"IL","Morgan County","perc_nt",30.9,92.2,63
"IL","LaSalle County","perc_nt",30.4,96,64
"IL","Boone County","perc_nt",30.3,108.5,65
"IL","Pike County","perc_nt",29.7,80.2,66
"IL","Whiteside County","perc_nt",29.6,90,67
"IL","Logan County","perc_nt",29.1,98.1,68
"IL","Ford County","perc_nt",28.9,104,69
"IL","McHenry County","perc_nt",28.7,79.2,70
"IL","Gallatin County","perc_nt",27.4,77,71
"IL","Mason County","perc_nt",26.9,79.6,72
"IL","Piatt County","perc_nt",26.1,96.1,73
"IL","Macon County","perc_nt",25.7,102.2,74
"IL","DeKalb County","perc_nt",24.8,85.8,75
"IL","Macoupin County","perc_nt",24.4,93.7,76
"IL","Edgar County","perc_nt",23.9,104.9,77
"IL","Lee County","perc_nt",22.7,95.2,78
"IL","Woodford County","perc_nt",22.1,92.1,79
"IL","Champaign County","perc_nt",21.6,94.2,80
