Year,Crop,FIPS,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,corn,53,Ford,308,3.30,4.00,29,9.40,0.60,21,6.80,1.40,52,16.90,2.10,206,66.90,4.20
2015,corn,105,Livingston,235,3.30,4.00,16,6.80,0.70,29,12.30,0.70,39,16.60,2.40,151,64.30,4.20
2015,corn,117,Macoupin,241,3.20,4.10,7,2.90,1.30,42,17.40,1.10,43,17.80,2.50,149,61.80,4.00
2015,corn,135,Montgomery,229,3.40,4.30,9,3.90,1.00,43,18.80,1.00,35,15.30,2.80,142,62.00,4.40
2015,soybean,53,Ford,305,0.80,2.40,109,35.70,0.20,128,42.00,0.90,55,18.00,1.50,13,4.30,2.30
2015,soybean,105,Livingston,204,0.70,2.60,90,44.10,0.20,82,40.20,0.80,21,10.30,1.20,11,5.40,3.30
2015,soybean,117,Macoupin,203,1.30,3.10,53,26.10,0.70,75,36.90,1.10,32,40.00,0.50,43,60.00,1.00
2015,soybean,135,Montgomery,210,0.70,2.80,60,28.60,0.30,138,65.70,0.70,11,5.20,1.90,1,0.50,2.50
2018,corn,53,Ford,324,3.45,3.54,2,0.60,1.22,3,0.90,0.39,10,3.10,2.46,309,95.40,3.53
2018,corn,105,Livingston,302,2.88,3.77,38,12.60,0.65,40,13.20,0.82,27,8.90,2.56,197,65.20,3.77
2018,corn,117,Macoupin,354,4.00,4.61,14,4.00,0.61,32,9.00,0.74,52,14.70,2.73,256,72.30,4.86
2018,corn,135,Montgomery,236,3.52,4.06,5,2.10,0.50,5,2.10,1.44,52,22.00,2.47,174,73.70,3.98
2018,soybean,53,Ford,318,1.60,2.71,85,26.70,0.29,34,10.70,0.66,107,33.60,1.45,92,28.90,3.32
2018,soybean,105,Livingston,290,0.90,2.59,47,16.20,0.42,181,62.40,0.67,38,13.10,1.29,24,8.30,3.00
2018,soybean,117,Macoupin,334,1.14,2.92,78,23.40,0.37,136,40.70,0.77,82,24.60,1.38,38,11.40,3.47
2018,soybean,135,Montgomery,188,1.38,3.23,40,21.30,0.37,71,37.80,0.84,57,30.30,1.64,20,10.60,4.56
2017,corn,53,Ford,327,3.55,3.77,13,4.00,0.36,11,3.40,0.84,20,6.10,2.21,283,86.50,3.90
2017,corn,105,Livingston,226,3.56,4.03,10,4.40,0.95,10,4.40,0.76,31,13.70,2.08,175,77.40,4.13
2017,corn,117,Macoupin,231,3.78,4.39,3,1.30,0.88,17,7.40,0.91,51,22.10,2.45,160,69.30,4.56
2017,corn,135,Montgomery,208,3.90,4.28,3,1.40,0.43,5,2.40,1.29,35,16.80,2.63,165,79.30,4.31
2017,soybean,53,Ford,300,0.80,2.08,103,34.30,0.17,86,28.70,0.51,68,22.70,1.05,43,14.30,2.50
2017,soybean,105,Livingston,213,0.86,2.52,77,36.20,0.23,75,35.20,0.71,42,19.70,1.36,19,8.90,2.93
2017,soybean,117,Macoupin,210,1.23,2.84,33,15.70,0.33,82,39.00,0.99,54,25.70,1.44,41,19.50,2.15
2017,soybean,135,Montgomery,221,1.62,2.96,39,17.60,0.33,37,16.70,0.77,65,29.40,1.61,80,36.20,2.65
