DATE,AirTC_Avg,TMAX_C,TMIN_C,GDD_4_neg,GDD_4,cum_GDD_4_1001,FDD_4,cum_FDD_4_1001,FDD_Y_N,cum_days_below_0C,PRCP,cum_Precip_mm_1001
10/1/2015,558.79516,11.56,4.85,4.205,4.205,4.205,0,0,0,0,0.1356,0.1356
10/2/2015,558.79516,9.96,3.35,2.655,2.655,6.86,0,0,0,0,0,0.1356
10/3/2015,558.79516,6.56004,2.82,0.69002,0.69002,7.55002,0,0,0,0,4.7576,4.8932
10/4/2015,558.79516,14.6,5.46,6.03,6.03,13.58002,0,0,0,0,0,4.8932
10/5/2015,558.79516,16.21,7.31004,7.76002,7.76002,21.34004,0,0,0,0,0,4.8932
10/6/2015,558.79516,17.53,11.6,10.565,10.565,31.90504,0,0,0,0,0,4.8932
10/7/2015,558.79516,16.79,11.31,10.05,10.05,41.95504,0,0,0,0,0.0814,4.9746
10/8/2015,558.79516,17.83,7.78,8.805,8.805,50.76004,0,0,0,0,0.0824,5.057
10/9/2015,558.79516,17.17,7.27,8.22,8.22,58.98004,0,0,0,0,19.4372,24.4942
10/10/2015,558.79516,12.85,4.30004,4.57502,4.57502,63.55506,0,0,0,0,0,24.4942
10/11/2015,558.79516,18.05,6.3,8.175,8.175,71.73006,0,0,0,0,0,24.4942
10/12/2015,558.79516,20.15,9.8,10.975,10.975,82.70506,0,0,0,0,0.3542,24.8484
10/13/2015,558.79516,15.66,8.81004,8.23502,8.23502,90.94008,0,0,0,0,4.3028,29.1512
10/14/2015,558.79516,11.98,6.45004,5.21502,5.21502,96.1551,0,0,0,0,0.4877,29.6389
10/15/2015,558.79516,14.48,4.14,5.31,5.31,101.4651,0,0,0,0,7.9929,37.6318
10/16/2015,558.79516,11.44,4.04,3.74,3.74,105.2051,0,0,0,0,6.5653,44.1971
10/17/2015,558.79516,4.37,0.62,-1.505,0,105.2051,1.505,1.505,0,0,0.3382,44.5353
10/18/2015,558.79516,2.45,-0.929961,-3.2399805,0,105.2051,3.2399805,4.7449805,0,0,0.3725,44.9078
10/19/2015,558.79516,10.8,-1.90996,0.44502,0.44502,105.65012,0,4.7449805,0,0,0,44.9078
10/20/2015,558.79516,14.41,8.48,7.445,7.445,113.09512,0,4.7449805,0,0,0.24,45.1478
10/21/2015,558.79516,17.22,11.2,10.21,10.21,123.30512,0,4.7449805,0,0,0.1286,45.2764
10/22/2015,558.79516,18.27,7.22,8.745,8.745,132.05012,0,4.7449805,0,0,0.7928,46.0692
10/23/2015,558.79516,7.66,0.9,0.28,0.28,132.33012,0,4.7449805,0,0,0,46.0692
10/24/2015,558.79516,12.85,0.84,2.845,2.845,135.17512,0,4.7449805,0,0,5.1332,51.2024
10/25/2015,558.79516,12.45,3.43,3.94,3.94,139.11512,0,4.7449805,0,0,3.2752,54.4776
10/26/2015,558.79516,9.32004,1.81,1.56502,1.56502,140.68014,0,4.7449805,0,0,0,54.4776
10/27/2015,558.79516,11.87,1.29,2.58,2.58,143.26014,0,4.7449805,0,0,0.1252,54.6028
10/28/2015,558.79516,15.09,6.64,6.865,6.865,150.12514,0,4.7449805,0,0,31.8474,86.4502
10/29/2015,558.79516,13.05,4.29,4.67,4.67,154.79514,0,4.7449805,0,0,3.8944,90.3446
10/30/2015,558.79516,7.96,1.49,0.725,0.725,155.52014,0,4.7449805,0,0,1.929,92.2736
10/31/2015,558.79516,9.62004,0.23,0.92502,0.92502,156.44516,0,4.7449805,0,0,0.0226,92.2962
11/1/2015,558.79516,15.44,7.27,7.355,7.355,163.80016,0,4.7449805,0,0,0.72,93.0162
11/2/2015,558.79516,13.66,4.83,5.245,5.245,169.04516,0,4.7449805,0,0,0,93.0162
11/3/2015,558.79516,18.78,7.67,9.225,9.225,178.27016,0,4.7449805,0,0,0,93.0162
11/4/2015,558.79516,20.49,8.69,10.59,10.59,188.86016,0,4.7449805,0,0,0,93.0162
11/5/2015,558.79516,21.01,11.85,12.43,12.43,201.29016,0,4.7449805,0,0,0,93.0162
11/6/2015,558.79516,16.53,10.13,9.33,9.33,210.62016,0,4.7449805,0,0,2.874,95.8902
11/7/2015,558.79516,9.45,4.19,2.82,2.82,213.44016,0,4.7449805,0,0,0.2004,96.0906
11/8/2015,558.79516,7.62004,0.64,0.13002,0.13002,213.57018,0,4.7449805,0,0,0,96.0906
11/9/2015,558.79516,11.24,-0.64,1.3,1.3,214.87018,0,4.7449805,0,0,0,96.0906
11/10/2015,558.79516,11.58,3.85,3.715,3.715,218.58518,0,4.7449805,0,0,12.7022,108.7928
11/11/2015,558.79516,10.25,4.47,3.36,3.36,221.94518,0,4.7449805,0,0,1.1596,109.9524
11/12/2015,558.79516,11.13,3.75,3.44,3.44,225.38518,0,4.7449805,0,0,2.7176,112.67
11/13/2015,558.79516,5.87,2.34,0.105,0.105,225.49018,0,4.7449805,0,0,11.1134,123.7834
11/14/2015,558.79516,4.53,0.630039,-1.4199805,0,225.49018,1.4199805,6.164961,0,0,0.848,124.6314
11/15/2015,558.79516,11.5,0.98,2.24,2.24,227.73018,0,6.164961,0,0,0,124.6314
11/16/2015,558.79516,12.37,3.66,4.015,4.015,231.74518,0,6.164961,0,0,0,124.6314
11/17/2015,558.79516,11.53,0.59,2.06,2.06,233.80518,0,6.164961,0,0,0,124.6314
11/18/2015,558.79516,13.62,5.4,5.51,5.51,239.31518,0,6.164961,0,0,0,124.6314
11/19/2015,558.79516,15.9,7.49,7.695,7.695,247.01018,0,6.164961,0,0,1.9964,126.6278
11/20/2015,558.79516,6.27,-1.01,-1.37,0,247.01018,1.37,7.534961,0,0,0,126.6278
11/21/2015,558.79516,5.53,-0.58,-1.525,0,247.01018,1.525,9.059961,0,0,0.0442,126.672
11/22/2015,558.79516,4.04,-3.69996,-3.82998,0,247.01018,3.82998,12.889941,0,0,2.5138,129.1858
11/23/2015,558.79516,5.68434e-14,-3.97,-5.985,0,247.01018,5.985,18.874941,1,1,0.134,129.3198
11/24/2015,558.79516,3.35,-1.82,-3.235,0,247.01018,3.235,22.109941,0,1,0.1601,129.4799
11/25/2015,558.79516,7.39,-2.41,-1.51,0,247.01018,1.51,23.619941,0,1,0,129.4799
11/26/2015,558.79516,12.17,3.09,3.63,3.63,250.64018,0,23.619941,0,1,0,129.4799
11/27/2015,558.79516,13.91,7.99,6.95,6.95,257.59018,0,23.619941,0,1,4.6824,134.1623
11/28/2015,558.79516,7.3,-2.39,-1.545,0,257.59018,1.545,25.164941,0,1,2.8026,136.9649
11/29/2015,558.79516,1.15,-4.67,-5.76,0,257.59018,5.76,30.924941,1,2,0,136.9649
11/30/2015,558.79516,3.77,-5.88,-5.055,0,257.59018,5.055,35.979941,1,3,0,136.9649
