"supply_shed","section","aggregation_unit_name","aggregation_unit_fips","year","crop_name","cdl_crop_id","kpi_name","kpi_value","units"
"IL","IL","Carroll County",17015,2015,"Corn",1,"Area",123677.277572064,"acres"
"IL","IL","Ogle County",17141,2015,"Corn",1,"Area",215887.345217947,"acres"
"IL","IL","Champaign County",17019,2015,"Corn",1,"Area",274071.26675445,"acres"
"IL","IL","Johnson County",17087,2015,"Corn",1,"Area",6155.98689742206,"acres"
"IL","IL","Wayne County",17191,2015,"Corn",1,"Area",98383.3313662327,"acres"
"IL","IL","Iroquois County",17075,2015,"Corn",1,"Area",332031.687088709,"acres"
"IL","IL","LaSalle County",17099,2015,"Corn",1,"Area",284422.058076601,"acres"
"IL","IL","Clay County",17025,2015,"Corn",1,"Area",75406.2955095097,"acres"
"IL","IL","Calhoun County",17013,2015,"Corn",1,"Area",16867.4062159234,"acres"
"IL","IL","Massac County",17127,2015,"Corn",1,"Area",19071.8040069775,"acres"
"IL","IL","Will County",17197,2015,"Corn",1,"Area",96818.6364293602,"acres"
"IL","IL","Jackson County",17077,2015,"Corn",1,"Area",30331.346281155,"acres"
"IL","IL","Sangamon County",17167,2015,"Corn",1,"Area",215020.214569539,"acres"
"IL","IL","Effingham County",17049,2015,"Corn",1,"Area",79298.0699606024,"acres"
"IL","IL","DeKalb County",17037,2015,"Corn",1,"Area",210408.76600142,"acres"
"IL","IL","Whiteside County",17195,2015,"Corn",1,"Area",218437.740732393,"acres"
"IL","IL","Montgomery County",17135,2015,"Corn",1,"Area",155625.256223259,"acres"
"IL","IL","Williamson County",17199,2015,"Corn",1,"Area",14641.0840606479,"acres"
"IL","IL","Jefferson County",17081,2015,"Corn",1,"Area",43310.0603244191,"acres"
"IL","IL","Morgan County",17137,2015,"Corn",1,"Area",133453.27612738,"acres"
"IL","IL","Kendall County",17093,2015,"Corn",1,"Area",74128.1392226935,"acres"
"IL","IL","Henry County",17073,2015,"Corn",1,"Area",213347.955407868,"acres"
"IL","IL","Pulaski County",17153,2015,"Corn",1,"Area",17112.9311265005,"acres"
"IL","IL","Henderson County",17071,2015,"Corn",1,"Area",89264.3799051017,"acres"
"IL","IL","Perry County",17145,2015,"Corn",1,"Area",44165.2825628878,"acres"
"IL","IL","Washington County",17189,2015,"Corn",1,"Area",91696.3635882367,"acres"
"IL","IL","Vermilion County",17183,2015,"Corn",1,"Area",204064.693930229,"acres"
"IL","IL","Richland County",17159,2015,"Corn",1,"Area",67242.1923197376,"acres"
"IL","IL","Wabash County",17185,2015,"Corn",1,"Area",44839.1486841757,"acres"
"IL","IL","Fayette County",17051,2015,"Corn",1,"Area",100727.551197653,"acres"
"IL","IL","Union County",17181,2015,"Corn",1,"Area",10539.1548274618,"acres"
"IL","IL","Cook County",17031,2015,"Corn",1,"Area",3223.34596216934,"acres"
"IL","IL","Bond County",17005,2015,"Corn",1,"Area",66611.3491043068,"acres"
"IL","IL","McDonough County",17109,2015,"Corn",1,"Area",138889.650997105,"acres"
"IL","IL","Lee County",17103,2015,"Corn",1,"Area",249789.552882745,"acres"
"IL","IL","Mason County",17125,2015,"Corn",1,"Area",131133.688949552,"acres"
"IL","IL","Edwards County",17047,2015,"Corn",1,"Area",35513.347576904,"acres"
"IL","IL","Marion County",17121,2015,"Corn",1,"Area",70137.2259768165,"acres"
"IL","IL","Woodford County",17203,2015,"Corn",1,"Area",118389.260667326,"acres"
"IL","IL","Kane County",17089,2015,"Corn",1,"Area",78246.4022292252,"acres"
"IL","IL","Livingston County",17105,2015,"Corn",1,"Area",288304.71989044,"acres"
"IL","IL","Lawrence County",17101,2015,"Corn",1,"Area",67665.4908539268,"acres"
"IL","IL","Shelby County",17173,2015,"Corn",1,"Area",167218.974059958,"acres"
"IL","IL","Peoria County",17143,2015,"Corn",1,"Area",91275.3564598487,"acres"
"IL","IL","Stark County",17175,2015,"Corn",1,"Area",79293.237225989,"acres"
"IL","IL","Greene County",17061,2015,"Corn",1,"Area",128284.075219783,"acres"
"IL","IL","St. Clair County",17163,2015,"Corn",1,"Area",80761.3661928344,"acres"
"IL","IL","Stephenson County",17177,2015,"Corn",1,"Area",146750.122960473,"acres"
"IL","IL","Hamilton County",17065,2015,"Corn",1,"Area",61963.4002822732,"acres"
"IL","IL","White County",17193,2015,"Corn",1,"Area",76005.2207131344,"acres"
"IL","IL","Coles County",17029,2015,"Corn",1,"Area",114728.941292214,"acres"
"IL","IL","Pike County",17149,2015,"Corn",1,"Area",150338.157917552,"acres"
"IL","IL","Macon County",17115,2015,"Corn",1,"Area",146873.994418724,"acres"
"IL","IL","Mercer County",17131,2015,"Corn",1,"Area",118970.966466558,"acres"
"IL","IL","DuPage County",17043,2015,"Corn",1,"Area",2635.750625429,"acres"
"IL","IL","Monroe County",17133,2015,"Corn",1,"Area",44381.969527371,"acres"
"IL","IL","Warren County",17187,2015,"Corn",1,"Area",145924.52716702,"acres"
"IL","IL","Alexander County",17003,2015,"Corn",1,"Area",7527.63342016106,"acres"
"IL","IL","Christian County",17021,2015,"Corn",1,"Area",194112.272227707,"acres"
"IL","IL","Crawford County",17033,2015,"Corn",1,"Area",76548.7787714027,"acres"
"IL","IL","Scott County",17171,2015,"Corn",1,"Area",50059.4690866034,"acres"
"IL","IL","Franklin County",17055,2015,"Corn",1,"Area",36444.0247516446,"acres"
"IL","IL","Adams County",17001,2015,"Corn",1,"Area",137084.747842391,"acres"
"IL","IL","Edgar County",17045,2015,"Corn",1,"Area",156470.530272743,"acres"
"IL","IL","Saline County",17165,2015,"Corn",1,"Area",44823.8860205341,"acres"
"IL","IL","Brown County",17009,2015,"Corn",1,"Area",35863.2942325785,"acres"
"IL","IL","Clark County",17023,2015,"Corn",1,"Area",83409.6534586481,"acres"
"IL","IL","Grundy County",17063,2015,"Corn",1,"Area",101851.48623374,"acres"
"IL","IL","Putnam County",17155,2015,"Corn",1,"Area",32486.1778661064,"acres"
"IL","IL","Clinton County",17027,2015,"Corn",1,"Area",81791.4495252872,"acres"
"IL","IL","Macoupin County",17117,2015,"Corn",1,"Area",172202.956153112,"acres"
"IL","IL","Boone County",17007,2015,"Corn",1,"Area",70060.2934415877,"acres"
"IL","IL","McLean County",17113,2015,"Corn",1,"Area",316097.841638331,"acres"
"IL","IL","Bureau County",17011,2015,"Corn",1,"Area",249989.032771898,"acres"
"IL","IL","Marshall County",17123,2015,"Corn",1,"Area",92418.0159699191,"acres"
"IL","IL","Knox County",17095,2015,"Corn",1,"Area",141651.138276814,"acres"
"IL","IL","Moultrie County",17139,2015,"Corn",1,"Area",88192.886865637,"acres"
"IL","IL","Madison County",17119,2015,"Corn",1,"Area",100829.46485802,"acres"
"IL","IL","Jasper County",17079,2015,"Corn",1,"Area",95340.993256032,"acres"
"IL","IL","McHenry County",17111,2015,"Corn",1,"Area",90972.5722805763,"acres"
"IL","IL","Tazewell County",17179,2015,"Corn",1,"Area",144176.566130823,"acres"
"IL","IL","Cumberland County",17035,2015,"Corn",1,"Area",65563.4307906506,"acres"
"IL","IL","Fulton County",17057,2015,"Corn",1,"Area",128819.408781139,"acres"
"IL","IL","Hardin County",17069,2015,"Corn",1,"Area",1056.7825719207,"acres"
"IL","IL","De Witt County",17039,2015,"Corn",1,"Area",104786.673122118,"acres"
"IL","IL","Winnebago County",17201,2015,"Corn",1,"Area",83243.6245899743,"acres"
"IL","IL","Jo Daviess County",17085,2015,"Corn",1,"Area",62369.1984880316,"acres"
"IL","IL","Pope County",17151,2015,"Corn",1,"Area",5939.62838223613,"acres"
"IL","IL","Schuyler County",17169,2015,"Corn",1,"Area",54827.2892603487,"acres"
"IL","IL","Ford County",17053,2015,"Corn",1,"Area",135308.242982138,"acres"
"IL","IL","Hancock County",17067,2015,"Corn",1,"Area",152937.193958141,"acres"
"IL","IL","Rock Island County",17161,2015,"Corn",1,"Area",60390.7972049006,"acres"
"IL","IL","Gallatin County",17059,2015,"Corn",1,"Area",60639.8230136057,"acres"
"IL","IL","Piatt County",17147,2015,"Corn",1,"Area",126680.851186732,"acres"
"IL","IL","Douglas County",17041,2015,"Corn",1,"Area",113905.677159922,"acres"
"IL","IL","Kankakee County",17091,2015,"Corn",1,"Area",185465.385753465,"acres"
"IL","IL","Jersey County",17083,2015,"Corn",1,"Area",60763.4353045646,"acres"
"IL","IL","Cass County",17017,2015,"Corn",1,"Area",86135.2685235191,"acres"
"IL","IL","Randolph County",17157,2015,"Corn",1,"Area",49624.9666050121,"acres"
"IL","IL","Menard County",17129,2015,"Corn",1,"Area",74232.7792479852,"acres"
"IL","IL","Logan County",17107,2015,"Corn",1,"Area",184201.240724685,"acres"
"IL","IL","Carroll County",17015,2015,"Soybeans",5,"Area",33529.1345106696,"acres"
