"state","county","fips","year","crop_name","perc_eval","variable","value"
"IL","Adams County",17001,2015,"Corn",67.15,"perc_ct",23.904836243742
"IL","Adams County",17001,2015,"Soybeans",67.15,"perc_ct",7.27554067141666
"IL","Adams County",17001,2016,"Corn",69.99,"perc_ct",15.1939120020564
"IL","Adams County",17001,2016,"Soybeans",69.99,"perc_ct",15.6526756749116
"IL","Adams County",17001,2017,"Corn",70.5,"perc_ct",24.8170131678321
"IL","Adams County",17001,2017,"Soybeans",70.5,"perc_ct",12.3912703301147
"IL","Adams County",17001,2018,"Corn",70.39,"perc_ct",41.3782551287546
"IL","Adams County",17001,2018,"Soybeans",70.39,"perc_ct",14.9976592947864
"IL","Adams County",17001,2019,"Corn",63.84,"perc_ct",15.3301146419077
"IL","Adams County",17001,2019,"Soybeans",63.84,"perc_ct",6.34948064386071
"IL","Adams County",17001,2020,"Corn",70.95,"perc_ct",8.4752722366723
"IL","Adams County",17001,2020,"Soybeans",70.95,"perc_ct",5.57424642030554
"IL","Adams County",17001,2021,"Corn",70.72,"perc_ct",31.2672334552423
"IL","Adams County",17001,2021,"Soybeans",70.72,"perc_ct",11.8937509830036
"IL","Alexander County",17003,2015,"Corn",110.09,"perc_ct",29.1302755388417
"IL","Alexander County",17003,2015,"Soybeans",110.09,"perc_ct",11.3013567055314
"IL","Alexander County",17003,2016,"Corn",113.54,"perc_ct",16.9037385834769
"IL","Alexander County",17003,2016,"Soybeans",113.54,"perc_ct",14.9009108402952
"IL","Alexander County",17003,2017,"Corn",105.96,"perc_ct",6.64041403174431
"IL","Alexander County",17003,2017,"Soybeans",105.96,"perc_ct",5.12082576259935
"IL","Alexander County",17003,2018,"Corn",111.11,"perc_ct",4.72541897547971
"IL","Alexander County",17003,2018,"Soybeans",111.11,"perc_ct",3.44783626148595
"IL","Alexander County",17003,2019,"Corn",37.54,"perc_ct",0.758533205040225
"IL","Alexander County",17003,2020,"Corn",97.24,"perc_ct",2.5338401943029
"IL","Alexander County",17003,2020,"Soybeans",97.24,"perc_ct",1.32548936851525
"IL","Alexander County",17003,2021,"Corn",113.56,"perc_ct",9.88211539295559
"IL","Alexander County",17003,2021,"Soybeans",113.56,"perc_ct",5.63866250054125
"IL","Bond County",17005,2015,"Corn",87.2,"perc_ct",37.040099416766
"IL","Bond County",17005,2015,"Soybeans",87.2,"perc_ct",2.91609909180955
"IL","Bond County",17005,2016,"Corn",90.1,"perc_ct",6.66132932661326
"IL","Bond County",17005,2016,"Soybeans",90.1,"perc_ct",3.09810962354289
"IL","Bond County",17005,2017,"Corn",92.86,"perc_ct",8.77042764848191
"IL","Bond County",17005,2017,"Soybeans",92.86,"perc_ct",1.49362916695078
"IL","Bond County",17005,2018,"Corn",90.13,"perc_ct",17.1585695288823
"IL","Bond County",17005,2018,"Soybeans",90.13,"perc_ct",6.10744969944365
"IL","Bond County",17005,2019,"Corn",85.86,"perc_ct",2.56103794507218
"IL","Bond County",17005,2019,"Soybeans",85.86,"perc_ct",0.321739652199309
"IL","Bond County",17005,2020,"Corn",93.6,"perc_ct",4.14886810237561
"IL","Bond County",17005,2020,"Soybeans",93.6,"perc_ct",0.167834907364034
"IL","Bond County",17005,2021,"Corn",91.73,"perc_ct",1.06500585891583
"IL","Bond County",17005,2021,"Soybeans",91.73,"perc_ct",1.2147504451717
"IL","Boone County",17007,2015,"Corn",111.72,"perc_ct",27.542100673221
"IL","Boone County",17007,2015,"Soybeans",111.72,"perc_ct",16.5592243760026
"IL","Boone County",17007,2016,"Corn",112.8,"perc_ct",16.9247025129033
"IL","Boone County",17007,2016,"Soybeans",112.8,"perc_ct",8.65661056133803
"IL","Boone County",17007,2017,"Corn",112.21,"perc_ct",16.875858391942
"IL","Boone County",17007,2017,"Soybeans",112.21,"perc_ct",9.61225405974865
"IL","Boone County",17007,2018,"Corn",113.22,"perc_ct",38.2622025502387
"IL","Boone County",17007,2018,"Soybeans",113.22,"perc_ct",18.0547667599541
"IL","Boone County",17007,2019,"Corn",98.44,"perc_ct",18.0247245628081
"IL","Boone County",17007,2019,"Soybeans",98.44,"perc_ct",7.18247898613967
"IL","Boone County",17007,2020,"Corn",111.29,"perc_ct",18.4764263118741
"IL","Boone County",17007,2020,"Soybeans",111.29,"perc_ct",7.99551118485489
"IL","Boone County",17007,2021,"Corn",111.01,"perc_ct",30.2924035104024
"IL","Boone County",17007,2021,"Soybeans",111.01,"perc_ct",14.4199853462848
"IL","Brown County",17009,2015,"Corn",86.01,"perc_ct",2.34671964757083
"IL","Brown County",17009,2015,"Soybeans",86.01,"perc_ct",1.40866275671645
"IL","Brown County",17009,2016,"Corn",87.14,"perc_ct",2.80592225050872
"IL","Brown County",17009,2016,"Soybeans",87.14,"perc_ct",1.13805160308959
"IL","Brown County",17009,2017,"Corn",87.45,"perc_ct",6.43390682499442
"IL","Brown County",17009,2017,"Soybeans",87.45,"perc_ct",1.32447518998264
"IL","Brown County",17009,2018,"Corn",87.24,"perc_ct",36.77372096982
"IL","Brown County",17009,2018,"Soybeans",87.24,"perc_ct",9.95280317483047
"IL","Brown County",17009,2019,"Corn",81.99,"perc_ct",10.2788231627585
"IL","Brown County",17009,2019,"Soybeans",81.99,"perc_ct",1.60564815274927
"IL","Brown County",17009,2020,"Corn",87.69,"perc_ct",1.84846032598471
"IL","Brown County",17009,2020,"Soybeans",87.69,"perc_ct",1.00177952107191
"IL","Brown County",17009,2021,"Corn",88.14,"perc_ct",25.7954990824834
"IL","Brown County",17009,2021,"Soybeans",88.14,"perc_ct",4.31900729107995
"IL","Bureau County",17011,2015,"Corn",101.54,"perc_ct",8.3451436523128
"IL","Bureau County",17011,2015,"Soybeans",101.54,"perc_ct",5.34774576560256
"IL","Bureau County",17011,2016,"Corn",101.93,"perc_ct",25.7936123793328
"IL","Bureau County",17011,2016,"Soybeans",101.93,"perc_ct",17.367945744255
"IL","Bureau County",17011,2017,"Corn",102.25,"perc_ct",30.1342384315877
"IL","Bureau County",17011,2017,"Soybeans",102.25,"perc_ct",17.1065100437844
"IL","Bureau County",17011,2018,"Corn",102.24,"perc_ct",35.8344165713236
"IL","Bureau County",17011,2018,"Soybeans",102.24,"perc_ct",18.8116174407216
"IL","Bureau County",17011,2019,"Corn",87.02,"perc_ct",38.8423612919412
"IL","Bureau County",17011,2019,"Soybeans",87.02,"perc_ct",26.9165585048775
"IL","Bureau County",17011,2020,"Corn",101.73,"perc_ct",29.7418132930812
"IL","Bureau County",17011,2020,"Soybeans",101.73,"perc_ct",20.3791708628253
"IL","Bureau County",17011,2021,"Corn",101.95,"perc_ct",42.9600607849168
"IL","Bureau County",17011,2021,"Soybeans",101.95,"perc_ct",25.8320618967557
"IL","Calhoun County",17013,2015,"Corn",55.65,"perc_ct",6.53134578001156
"IL","Calhoun County",17013,2015,"Soybeans",55.65,"perc_ct",3.08868571183866
"IL","Calhoun County",17013,2016,"Corn",56.23,"perc_ct",2.03559787998726
"IL","Calhoun County",17013,2016,"Soybeans",56.23,"perc_ct",1.19208717596561
"IL","Calhoun County",17013,2017,"Corn",57.41,"perc_ct",21.635684971821
"IL","Calhoun County",17013,2017,"Soybeans",57.41,"perc_ct",17.4342860436365
"IL","Calhoun County",17013,2018,"Corn",55.7,"perc_ct",29.5020147944933
"IL","Calhoun County",17013,2018,"Soybeans",55.7,"perc_ct",14.9010817989215
