"supply_shed","section","aggregation_unit_name","aggregation_unit_fips","year","crop_name","cdl_crop_id","kpi_name","kpi_value","units"
"NY","NY","Steuben County",36101,2015,"Corn",1,"Area",34829.0513968847,"acres"
"NY","NY","Orange County",36071,2015,"Corn",1,"Area",5368.56372738036,"acres"
"NY","NY","Livingston County",36051,2015,"Corn",1,"Area",57110.2859566718,"acres"
"NY","NY","Franklin County",36033,2015,"Corn",1,"Area",12325.1879597589,"acres"
"NY","NY","Yates County",36123,2015,"Corn",1,"Area",34032.0135905206,"acres"
"NY","NY","Columbia County",36021,2015,"Corn",1,"Area",7593.94551677552,"acres"
"NY","NY","Cayuga County",36011,2015,"Corn",1,"Area",59893.3504198909,"acres"
"NY","NY","Oswego County",36075,2015,"Corn",1,"Area",8264.64225715868,"acres"
"NY","NY","Seneca County",36099,2015,"Corn",1,"Area",31407.8924490913,"acres"
"NY","NY","Herkimer County",36043,2015,"Corn",1,"Area",11496.227497445,"acres"
"NY","NY","Chemung County",36015,2015,"Corn",1,"Area",2563.12753946163,"acres"
"NY","NY","Sullivan County",36105,2015,"Corn",1,"Area",533.295471656488,"acres"
"NY","NY","Onondaga County",36067,2015,"Corn",1,"Area",29542.2615057355,"acres"
"NY","NY","Chautauqua County",36013,2015,"Corn",1,"Area",17309.9848453705,"acres"
"NY","NY","Clinton County",36019,2015,"Corn",1,"Area",14453.155043769,"acres"
"NY","NY","Lewis County",36049,2015,"Corn",1,"Area",15459.5867958295,"acres"
"NY","NY","Greene County",36039,2015,"Corn",1,"Area",755.257645518109,"acres"
"NY","NY","Schuyler County",36097,2015,"Corn",1,"Area",5752.70539079816,"acres"
"NY","NY","Cattaraugus County",36009,2015,"Corn",1,"Area",15711.0094608332,"acres"
"NY","NY","Wyoming County",36121,2015,"Corn",1,"Area",32444.4990021982,"acres"
"NY","NY","Essex County",36031,2015,"Corn",1,"Area",942.50092904612,"acres"
"NY","NY","Oneida County",36065,2015,"Corn",1,"Area",22375.2934742098,"acres"
"NY","NY","Schenectady County",36093,2015,"Corn",1,"Area",410.272156292548,"acres"
"NY","NY","Schoharie County",36095,2015,"Corn",1,"Area",5244.6268885141,"acres"
"NY","NY","Tioga County",36107,2015,"Corn",1,"Area",3477.01113636787,"acres"
"NY","NY","Broome County",36007,2015,"Corn",1,"Area",2922.85623888583,"acres"
"NY","NY","Rutland County",50021,2015,"Corn",1,"Area",18.0078216336117,"acres"
"NY","NY","Jefferson County",36045,2015,"Corn",1,"Area",25520.2074901566,"acres"
"NY","NY","Rensselaer County",36083,2015,"Corn",1,"Area",6262.35524602008,"acres"
"NY","NY","Allegany County",36003,2015,"Corn",1,"Area",12077.5871466253,"acres"
"NY","NY","Tompkins County",36109,2015,"Corn",1,"Area",9826.67800744688,"acres"
"NY","NY","Ontario County",36069,2015,"Corn",1,"Area",42896.9135082347,"acres"
"NY","NY","Genesee County",36037,2015,"Corn",1,"Area",41653.7171875076,"acres"
"NY","NY","Dutchess County",36027,2015,"Corn",1,"Area",3515.18482639299,"acres"
"NY","NY","Suffolk County",36103,2015,"Corn",1,"Area",1007.93680495031,"acres"
"NY","NY","Ulster County",36111,2015,"Corn",1,"Area",1298.44143105986,"acres"
"NY","NY","Warren County",36113,2015,"Corn",1,"Area",195.797376626622,"acres"
"NY","NY","Fulton County",36035,2015,"Corn",1,"Area",1116.7655773925,"acres"
"NY","NY","Delaware County",36025,2015,"Corn",1,"Area",2785.91293236817,"acres"
"NY","NY","Montgomery County",36057,2015,"Corn",1,"Area",10806.4777489691,"acres"
"NY","NY","Otsego County",36077,2015,"Corn",1,"Area",7078.02314289331,"acres"
"NY","NY","St. Lawrence County",36089,2015,"Corn",1,"Area",26194.3055169797,"acres"
"NY","NY","Saratoga County",36091,2015,"Corn",1,"Area",4755.45642798759,"acres"
"NY","NY","Erie County",36029,2015,"Corn",1,"Area",22775.0107512966,"acres"
"NY","NY","Washington County",36115,2015,"Corn",1,"Area",13243.427693515,"acres"
"NY","NY","Chenango County",36017,2015,"Corn",1,"Area",7744.1182115572,"acres"
"NY","NY","Madison County",36053,2015,"Corn",1,"Area",15642.8193543243,"acres"
"NY","NY","Cortland County",36023,2015,"Corn",1,"Area",7926.58617773175,"acres"
"NY","NY","Albany County",36001,2015,"Corn",1,"Area",1376.90596340028,"acres"
"NY","NY","Steuben County",36101,2015,"Soybeans",5,"Area",3833.4640077754,"acres"
"NY","NY","Orange County",36071,2015,"Soybeans",5,"Area",913.144834821199,"acres"
"NY","NY","Livingston County",36051,2015,"Soybeans",5,"Area",18851.0981007644,"acres"
"NY","NY","Franklin County",36033,2015,"Soybeans",5,"Area",1278.92781252863,"acres"
"NY","NY","Yates County",36123,2015,"Soybeans",5,"Area",6293.45710957235,"acres"
"NY","NY","Columbia County",36021,2015,"Soybeans",5,"Area",2780.61662336956,"acres"
"NY","NY","Cayuga County",36011,2015,"Soybeans",5,"Area",35736.9734448207,"acres"
"NY","NY","Oswego County",36075,2015,"Soybeans",5,"Area",7182.52029010606,"acres"
"NY","NY","Seneca County",36099,2015,"Soybeans",5,"Area",28999.999296792,"acres"
"NY","NY","Herkimer County",36043,2015,"Soybeans",5,"Area",1299.14002208397,"acres"
"NY","NY","Chemung County",36015,2015,"Soybeans",5,"Area",530.230877446084,"acres"
"NY","NY","Onondaga County",36067,2015,"Soybeans",5,"Area",12400.5811533826,"acres"
"NY","NY","Chautauqua County",36013,2015,"Soybeans",5,"Area",3208.59035138055,"acres"
"NY","NY","Clinton County",36019,2015,"Soybeans",5,"Area",624.657987642446,"acres"
"NY","NY","Lewis County",36049,2015,"Soybeans",5,"Area",488.115718359023,"acres"
"NY","NY","Greene County",36039,2015,"Soybeans",5,"Area",488.612667634582,"acres"
"NY","NY","Schuyler County",36097,2015,"Soybeans",5,"Area",1025.96814338113,"acres"
"NY","NY","Cattaraugus County",36009,2015,"Soybeans",5,"Area",3392.4945073474,"acres"
"NY","NY","Wyoming County",36121,2015,"Soybeans",5,"Area",2948.29450445679,"acres"
"NY","NY","Essex County",36031,2015,"Soybeans",5,"Area",11.3656573955088,"acres"
"NY","NY","Oneida County",36065,2015,"Soybeans",5,"Area",5871.12289040987,"acres"
"NY","NY","Schoharie County",36095,2015,"Soybeans",5,"Area",196.582946836553,"acres"
"NY","NY","Tioga County",36107,2015,"Soybeans",5,"Area",531.465847396055,"acres"
"NY","NY","Broome County",36007,2015,"Soybeans",5,"Area",184.747181652361,"acres"
"NY","NY","Jefferson County",36045,2015,"Soybeans",5,"Area",7598.18385699094,"acres"
"NY","NY","Rensselaer County",36083,2015,"Soybeans",5,"Area",1136.29515227373,"acres"
"NY","NY","Allegany County",36003,2015,"Soybeans",5,"Area",757.487865570796,"acres"
"NY","NY","Tompkins County",36109,2015,"Soybeans",5,"Area",3730.22797744724,"acres"
