"county","year","crop_name","perc_eval","variable","value"
"Allegany",2015,"Soybeans",75.75,"perc_ct",13.3960482582615
"Allegany",2016,"Corn",83.45,"perc_ct",2.72700483449849
"Allegany",2017,"Corn",94.16,"perc_ct",12.6319249423452
"Allegany",2017,"Soybeans",81.03,"perc_ct",37.6188867915793
"Allegany",2018,"Corn",105.76,"perc_ct",6.39003746924244
"Allegany",2020,"Corn",88.15,"perc_ct",8.59747407232522
"Allegany",2021,"Soybeans",89.12,"perc_ct",13.4242998575921
"Broome",2016,"Corn",99.39,"perc_ct",15.4990939300265
"Broome",2017,"Corn",55.56,"perc_ct",11.2080183631217
"Broome",2018,"Corn",74.85,"perc_ct",20.407863974603
"Broome",2020,"Corn",65.42,"perc_ct",20.090264046825
"Broome",2020,"Soybeans",54.7,"perc_ct",48.7341379536007
"Broome",2021,"Corn",60.11,"perc_ct",15.9914188452548
"Cattaraugus",2015,"Corn",69.21,"perc_ct",8.6542995936759
"Cattaraugus",2015,"Soybeans",84.81,"perc_ct",8.01750457548685
"Cattaraugus",2016,"Corn",79.21,"perc_ct",5.78304724070634
"Cattaraugus",2016,"Soybeans",67.24,"perc_ct",8.47709231265377
"Cattaraugus",2017,"Corn",82.01,"perc_ct",10.1099900165467
"Cattaraugus",2017,"Soybeans",83.05,"perc_ct",11.0069412688091
"Cattaraugus",2018,"Corn",90.05,"perc_ct",9.50962573165162
"Cattaraugus",2019,"Soybeans",90.42,"perc_ct",4.32475864817122
"Cattaraugus",2020,"Corn",86.8,"perc_ct",28.5206408506322
"Cattaraugus",2020,"Soybeans",94.92,"perc_ct",9.78976164102072
"Cattaraugus",2021,"Corn",81.35,"perc_ct",30.11209935431
"Cattaraugus",2021,"Soybeans",90.42,"perc_ct",18.475619648543
"Cayuga",2015,"Corn",98.51,"perc_ct",6.59414611298961
"Cayuga",2015,"Soybeans",105.42,"perc_ct",2.57025962210419
"Cayuga",2016,"Corn",99.39,"perc_ct",7.56543550232936
"Cayuga",2016,"Soybeans",112.71,"perc_ct",3.35816318260648
"Cayuga",2017,"Corn",112.65,"perc_ct",1.96947424562893
"Cayuga",2018,"Soybeans",123.84,"perc_ct",3.42676686884386
"Cayuga",2019,"Soybeans",108.05,"perc_ct",2.36540471965738
"Cayuga",2020,"Corn",110.73,"perc_ct",19.4021251669166
"Cayuga",2020,"Soybeans",117.66,"perc_ct",8.54187326259489
"Cayuga",2021,"Corn",99.93,"perc_ct",12.1658344631311
"Cayuga",2021,"Soybeans",119.26,"perc_ct",8.14820538071825
"Chautauqua",2015,"Corn",109.56,"perc_ct",5.08290643805543
"Chautauqua",2015,"Soybeans",91.67,"perc_ct",9.82175217892813
"Chautauqua",2016,"Corn",72.87,"perc_ct",23.826116507917
"Chautauqua",2017,"Corn",80.92,"perc_ct",14.6250787879293
"Chautauqua",2017,"Soybeans",100.48,"perc_ct",11.6656876996428
"Chautauqua",2018,"Corn",92.72,"perc_ct",10.105139317181
"Chautauqua",2019,"Soybeans",68.11,"perc_ct",8.1244251280783
"Chautauqua",2020,"Corn",88.6,"perc_ct",23.4144438167546
"Chautauqua",2020,"Soybeans",102.79,"perc_ct",17.1742589784756
"Chautauqua",2021,"Corn",84.45,"perc_ct",29.0736388393887
"Chautauqua",2021,"Soybeans",111.2,"perc_ct",15.8930722170082
"Chemung",2015,"Soybeans",66.28,"perc_ct",11.6246709087607
"Chemung",2016,"Soybeans",85.44,"perc_ct",1.04229911897552
"Chemung",2017,"Corn",61.39,"perc_ct",17.7720630150397
"Chemung",2017,"Soybeans",72.35,"perc_ct",12.28523684862
"Chemung",2018,"Corn",62.16,"perc_ct",12.327310202792
"Chemung",2020,"Corn",66.21,"perc_ct",34.3605461297172
"Chemung",2020,"Soybeans",78.62,"perc_ct",15.9760799187596
"Chemung",2021,"Corn",67.49,"perc_ct",31.37448411054
"Chemung",2021,"Soybeans",58.05,"perc_ct",31.4910576358865
"Chenango",2016,"Corn",50.68,"perc_ct",2.00659179921062
"Chenango",2017,"Corn",59.55,"perc_ct",2.99054640110018
"Chenango",2018,"Corn",65.48,"perc_ct",8.2589568807243
"Chenango",2020,"Corn",69.29,"perc_ct",16.8401335547052
"Chenango",2021,"Corn",63.6,"perc_ct",9.49716177751393
"Cortland",2015,"Corn",50.17,"perc_ct",1.03027969576311
"Cortland",2016,"Corn",82.7,"perc_ct",13.6377910797227
"Cortland",2016,"Soybeans",83.57,"perc_ct",13.2985109000351
"Cortland",2017,"Corn",61.52,"perc_ct",6.85222981618804
"Cortland",2017,"Soybeans",56.12,"perc_ct",11.4629945572357
"Cortland",2018,"Corn",69.94,"perc_ct",13.2933437046816
"Cortland",2019,"Corn",73.52,"perc_ct",4.97813063086445
"Cortland",2020,"Corn",70.44,"perc_ct",24.5411785061876
"Cortland",2020,"Soybeans",108.12,"perc_ct",10.9902437250466
"Cortland",2021,"Corn",63.71,"perc_ct",16.5722136432163
"Cortland",2021,"Soybeans",75.48,"perc_ct",7.38870037051974
"Delaware",2018,"Corn",83.22,"perc_ct",14.5933595871488
