Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,corn,1,illinois,adams,368,7.1,7.3,0,0,0,5,1.4,2.1,24,6.5,3.6,339,92.1,7.4
2015,soybean,1,illinois,adams,271,2.3,5.4,27,9.6,0.6,148,54.6,1.7,76,27.7,3,20,7.4,6.2
2018,corn,1,illinois,adams,330,4.57,8.23,24,7.3,1.13,78,23.6,2.06,192,58.2,4.72,36,10.9,11.44
2018,soybean,1,illinois,adams,325,1.22,5.4,112,34.5,0.62,192,59.1,1.24,14,4.3,3.31,7,2.2,6.12
2017,corn,1,illinois,adams,363,4.76,8.42,8,2.2,1.5,56,15.4,2.09,282,77.7,5.06,17,4.7,10.02
2017,soybean,1,illinois,adams,292,1.81,5.28,107,36.6,0.64,110,37.7,1.33,56,19.2,3.21,19,6.5,7.13
2015,corn,3,illinois,alexander,21,5.7,5.8,0,0,0,1,4.8,3.2,0,0,0,20,95.2,5.9
2015,soybean,3,illinois,alexander,98,2.8,4.4,37,37.8,1.2,1,1,0.8,4,4.1,3.6,56,57.1,3.9
2018,corn,3,illinois,alexander,30,5.65,5.68,0,0,NA,0,0,NA,1,3.3,3.29,29,96.7,5.74
2018,soybean,3,illinois,alexander,96,4.17,5.69,28,29.2,1.79,2,2.1,1.27,2,2.1,1.58,64,66.7,5.38
2017,corn,3,illinois,alexander,21,7.67,7.75,1,4.8,3.17,0,0,NA,0,0,NA,20,95.2,7.89
2017,soybean,3,illinois,alexander,104,2.22,4.35,54,51.9,1,1,1,0.99,6,5.8,1.92,43,41.3,3.83
2015,corn,5,illinois,bond,175,6,6.1,1,0.6,1.9,1,0.6,0.9,0,0,0,173,98.9,6.1
2015,soybean,5,illinois,bond,181,1.5,3.6,69,38.1,0.5,64,35.4,1.3,11,6.1,1.7,37,20.4,3.7
2018,corn,5,illinois,bond,161,3.45,5.65,1,0.6,0.26,37,23,1.51,77,47.8,3.34,46,28.6,5.25
2018,soybean,5,illinois,bond,183,1.15,4.19,34,18.6,0.52,121,66.1,0.98,22,12,2.46,6,3.3,3.44
2017,corn,5,illinois,bond,186,2.17,6.17,3,1.6,0.37,122,65.6,1.55,60,32.3,3.4,1,0.5,8.91
2017,soybean,5,illinois,bond,159,1.38,3.86,32,20.1,0.54,108,67.9,1.43,18,11.3,2.32,1,0.6,6.94
2015,corn,7,illinois,boone,258,2.9,3.9,13,5,0.5,72,27.9,1.3,58,22.5,2.5,115,44.6,4.4
2015,soybean,7,illinois,boone,171,1,2.8,63,36.8,0.4,59,34.5,1,41,24,1.1,8,4.7,6.1
2018,corn,7,illinois,boone,251,2.84,3.5,9,3.6,0.31,38,15.1,1.26,47,18.7,2.46,157,62.5,3.48
2018,soybean,7,illinois,boone,176,1.36,3.17,44,25,0.27,82,46.6,1.3,31,17.6,2.14,19,10.8,2.87
2017,corn,7,illinois,boone,224,3.6,4.01,7,3.1,0.95,24,10.7,1.12,15,6.7,1.78,178,79.5,4.19
