state,county,year,crop_name,perc_eval,variable,value
illinois,adams,2015,Corn,88.44,perc_ct,23.90483624
illinois,adams,2015,Soybeans,83.82,perc_ct,7.275540671
illinois,adams,2016,Corn,86.29,perc_ct,15.193912
illinois,adams,2016,Soybeans,84.18,perc_ct,15.65267567
illinois,adams,2017,Corn,90.48,perc_ct,24.81701317
illinois,adams,2017,Soybeans,82.57,perc_ct,12.39127033
illinois,adams,2018,Corn,85.04,perc_ct,41.37825513
illinois,adams,2018,Soybeans,90.48,perc_ct,14.99765929
illinois,adams,2019,Corn,89.75,perc_ct,15.33011464
illinois,adams,2019,Soybeans,85.14,perc_ct,6.349480644
illinois,adams,2020,Corn,88.87,perc_ct,8.475272237
illinois,adams,2020,Soybeans,85.67,perc_ct,5.57424642
illinois,adams,2021,Corn,NA,perc_ct,31.26723346
illinois,adams,2021,Soybeans,NA,perc_ct,11.89375098
illinois,alexander,2015,Corn,NA,perc_ct,29.13027554
illinois,alexander,2015,Soybeans,NA,perc_ct,11.30135671
illinois,alexander,2016,Corn,93.48,perc_ct,16.90373858
illinois,alexander,2016,Soybeans,106.3,perc_ct,14.90091084
illinois,alexander,2017,Corn,89.28,perc_ct,6.640414032
illinois,alexander,2017,Soybeans,109.14,perc_ct,5.120825763
illinois,alexander,2018,Corn,90.27,perc_ct,4.725418975
illinois,alexander,2018,Soybeans,NA,perc_ct,3.447836261
illinois,alexander,2019,Corn,77.27,perc_ct,0.758533205
illinois,alexander,2020,Corn,89.21,perc_ct,2.533840194
illinois,alexander,2020,Soybeans,96.7,perc_ct,1.325489369
illinois,alexander,2021,Corn,NA,perc_ct,9.882115393
illinois,alexander,2021,Soybeans,95.76,perc_ct,5.638662501
illinois,bond,2015,Corn,95.3,perc_ct,37.04009942
illinois,bond,2015,Soybeans,84.49,perc_ct,2.916099092
illinois,bond,2016,Corn,NA,perc_ct,6.661329327
illinois,bond,2016,Soybeans,NA,perc_ct,3.098109624
illinois,bond,2017,Corn,94.72,perc_ct,8.770427648
illinois,bond,2017,Soybeans,81.36,perc_ct,1.493629167
illinois,bond,2018,Corn,NA,perc_ct,17.15856953
illinois,bond,2018,Soybeans,79.62,perc_ct,6.107449699
illinois,bond,2019,Corn,95.22,perc_ct,2.561037945
illinois,bond,2019,Soybeans,79.45,perc_ct,0.321739652
illinois,bond,2020,Corn,92.14,perc_ct,4.148868102
illinois,bond,2020,Soybeans,82.08,perc_ct,0.167834907
illinois,bond,2021,Corn,93.39,perc_ct,1.065005859
illinois,bond,2021,Soybeans,79.59,perc_ct,1.214750445
illinois,boone,2015,Corn,105.2,perc_ct,27.54210067
illinois,boone,2015,Soybeans,104.88,perc_ct,16.55922438
illinois,boone,2016,Corn,107.73,perc_ct,16.92470251
illinois,boone,2016,Soybeans,111.09,perc_ct,8.656610561
illinois,boone,2017,Corn,111.76,perc_ct,16.87585839
illinois,boone,2017,Soybeans,107.33,perc_ct,9.61225406
illinois,boone,2018,Corn,99.03,perc_ct,38.26220255
illinois,boone,2018,Soybeans,97.49,perc_ct,18.05476676
illinois,boone,2019,Corn,100.82,perc_ct,18.02472456
illinois,boone,2019,Soybeans,97.97,perc_ct,7.182478986
