state,county,year,crop_name,perc_eval,variable,value
new york,albany,2020,Corn,124.58,perc_cc,40.02213436
new york,allegany,2015,Soybeans,75.75,perc_ct,13.39604826
new york,allegany,2016,Corn,83.45,perc_ct,2.727004834
new york,allegany,2017,Corn,94.16,perc_ct,12.63192494
new york,allegany,2017,Soybeans,81.03,perc_ct,37.61888679
new york,allegany,2018,Corn,105.76,perc_ct,6.390037469
new york,allegany,2020,Corn,88.15,perc_ct,8.597474072
new york,allegany,2021,Soybeans,89.12,perc_ct,13.42429986
new york,allegany,2016,Corn,83.45,perc_cc,3.128132854
new york,allegany,2017,Corn,94.16,perc_cc,5.72923721
new york,allegany,2017,Soybeans,81.03,perc_cc,5.322900209
new york,allegany,2018,Corn,105.76,perc_cc,4.489218811
new york,allegany,2018,Soybeans,93.06,perc_cc,1.253210642
new york,allegany,2020,Corn,88.15,perc_cc,2.730321484
new york,allegany,2021,Soybeans,89.12,perc_cc,4.274290625
new york,allegany,2015,Soybeans,75.75,perc_nt,24.55875931
new york,allegany,2016,Corn,83.45,perc_nt,3.881981967
new york,allegany,2017,Corn,94.16,perc_nt,22.1807125
new york,allegany,2017,Soybeans,81.03,perc_nt,11.24282052
new york,allegany,2018,Corn,105.76,perc_nt,32.76271701
new york,allegany,2018,Soybeans,93.06,perc_nt,61.16247429
new york,allegany,2019,Soybeans,104.22,perc_nt,19.06197228
new york,allegany,2020,Corn,88.15,perc_nt,20.58757501
new york,allegany,2020,Soybeans,67.85,perc_nt,14.26747354
new york,allegany,2021,Soybeans,89.12,perc_nt,13.39996953
new york,allegany,2015,Soybeans,75.75,perc_rt,62.04519243
new york,allegany,2016,Corn,83.45,perc_rt,9.153885308
new york,allegany,2017,Corn,94.16,perc_rt,54.08115212
new york,allegany,2017,Soybeans,81.03,perc_rt,43.36339514
new york,allegany,2018,Corn,105.76,perc_rt,54.80294864
new york,allegany,2018,Soybeans,93.06,perc_rt,30.36919444
new york,allegany,2019,Soybeans,104.22,perc_rt,64.58256576
new york,allegany,2020,Corn,88.15,perc_rt,66.59923666
new york,allegany,2020,Soybeans,67.85,perc_rt,83.43133803
new york,allegany,2021,Soybeans,89.12,perc_rt,68.8367412
new york,broome,2016,Corn,99.39,perc_ct,15.49909393
new york,broome,2017,Corn,55.56,perc_ct,11.20801836
new york,broome,2018,Corn,74.85,perc_ct,20.40786397
new york,broome,2020,Corn,65.42,perc_ct,20.09026405
new york,broome,2020,Soybeans,54.7,perc_ct,48.73413795
new york,broome,2021,Corn,60.11,perc_ct,15.99141885
new york,broome,2016,Corn,99.39,perc_cc,3.369833777
new york,broome,2017,Corn,55.56,perc_cc,3.953275621
new york,broome,2018,Corn,74.85,perc_cc,10.35315326
new york,broome,2020,Corn,65.42,perc_cc,15.84147427
new york,broome,2020,Soybeans,54.7,perc_cc,7.842713659
new york,broome,2021,Corn,60.11,perc_cc,9.931474562
new york,broome,2016,Corn,99.39,perc_nt,35.55162799
new york,broome,2017,Corn,55.56,perc_nt,24.56621041
new york,broome,2018,Corn,74.85,perc_nt,27.61973706
new york,broome,2020,Corn,65.42,perc_nt,19.94627019
new york,broome,2020,Soybeans,54.7,perc_nt,6.885430398
new york,broome,2021,Corn,60.11,perc_nt,23.32299452
new york,broome,2016,Corn,99.39,perc_rt,35.63269396
new york,broome,2017,Corn,55.56,perc_rt,53.77533771
new york,broome,2018,Corn,74.85,perc_rt,49.97369738
new york,broome,2020,Corn,65.42,perc_rt,57.22409339
new york,broome,2020,Soybeans,54.7,perc_rt,37.04418009
new york,broome,2021,Corn,60.11,perc_rt,57.62250827
new york,cattaraugus,2015,Corn,69.21,perc_ct,8.654299594
new york,cattaraugus,2015,Soybeans,84.81,perc_ct,8.017504575
new york,cattaraugus,2016,Corn,79.21,perc_ct,5.783047241
new york,cattaraugus,2016,Soybeans,67.24,perc_ct,8.477092313
new york,cattaraugus,2017,Corn,82.01,perc_ct,10.10999002
new york,cattaraugus,2017,Soybeans,83.05,perc_ct,11.00694127
new york,cattaraugus,2018,Corn,90.05,perc_ct,9.509625732
new york,cattaraugus,2019,Soybeans,90.42,perc_ct,4.324758648
new york,cattaraugus,2020,Corn,86.8,perc_ct,28.52064085
new york,cattaraugus,2020,Soybeans,94.92,perc_ct,9.789761641
new york,cattaraugus,2021,Corn,81.35,perc_ct,30.11209935
new york,cattaraugus,2021,Soybeans,90.42,perc_ct,18.47561965
new york,cattaraugus,2015,Corn,69.21,perc_cc,3.642230489
new york,cattaraugus,2015,Soybeans,84.81,perc_cc,2.474439188
new york,cattaraugus,2016,Corn,79.21,perc_cc,1.977166904
new york,cattaraugus,2016,Soybeans,67.24,perc_cc,2.327656064
new york,cattaraugus,2017,Corn,82.01,perc_cc,2.930262835
new york,cattaraugus,2017,Soybeans,83.05,perc_cc,0.887238255
new york,cattaraugus,2018,Corn,90.05,perc_cc,8.186860571
new york,cattaraugus,2019,Soybeans,90.42,perc_cc,2.510919873
new york,cattaraugus,2020,Corn,86.8,perc_cc,13.27382278
new york,cattaraugus,2020,Soybeans,94.92,perc_cc,5.136305033
new york,cattaraugus,2021,Corn,81.35,perc_cc,10.22189281
new york,cattaraugus,2021,Soybeans,90.42,perc_cc,1.268229821
new york,cattaraugus,2015,Corn,69.21,perc_nt,46.9392732
new york,cattaraugus,2015,Soybeans,84.81,perc_nt,46.47005463
new york,cattaraugus,2016,Corn,79.21,perc_nt,13.43870906
new york,cattaraugus,2016,Soybeans,67.24,perc_nt,3.537329855
new york,cattaraugus,2017,Corn,82.01,perc_nt,17.45653001
new york,cattaraugus,2017,Soybeans,83.05,perc_nt,20.50208866
new york,cattaraugus,2018,Corn,90.05,perc_nt,33.23341359
new york,cattaraugus,2019,Soybeans,90.42,perc_nt,19.17818551
new york,cattaraugus,2020,Corn,86.8,perc_nt,13.01908001
new york,cattaraugus,2020,Soybeans,94.92,perc_nt,19.25453175
new york,cattaraugus,2021,Corn,81.35,perc_nt,16.29343656
new york,cattaraugus,2021,Soybeans,90.42,perc_nt,15.50895212
new york,cattaraugus,2015,Corn,69.21,perc_rt,32.14523488
new york,cattaraugus,2015,Soybeans,84.81,perc_rt,35.64667473
new york,cattaraugus,2016,Corn,79.21,perc_rt,29.70333336
new york,cattaraugus,2016,Soybeans,67.24,perc_rt,41.70525467
