"county","variable","mean.perc","mean.eval","rank"
"Broome","perc_ct",26.3059212050709,63.77,1
"Chemung","perc_ct",25.105895599539,66.506,2
"Steuben","perc_ct",19.7595569609028,91.9657142857143,3
"Sullivan","perc_ct",18.9681710535506,61.7533333333333,4
"Chautauqua","perc_ct",17.2974963828144,91.3116666666667,5
"Cattaraugus","perc_ct",16.7887509790548,88.9933333333333,6
"Schuyler","perc_ct",15.7350257931361,84.625,7
"Jefferson","perc_ct",14.9211780348901,85.155,8
"Delaware","perc_ct",14.215942808881,69.2533333333333,9
"Seneca","perc_ct",13.7823715182008,124.67,10
"Madison","perc_ct",12.9919065865682,77.5375,11
"Cortland","perc_ct",12.9606350967527,76.8683333333333,12
"Genesee","perc_ct",12.9208118232951,103.131428571429,13
"Tioga","perc_ct",12.7934609483013,60.672,14
"Lewis","perc_ct",12.5880000526298,87.8157142857143,15
"Tompkins","perc_ct",12.508075686815,89.9271428571429,16
"Chenango","perc_ct",11.5320840709811,66.1233333333333,17
"Oneida","perc_ct",11.5024010778125,79.02375,18
"Oswego","perc_ct",10.2925856678973,103.511666666667,19
"Ontario","perc_ct",9.76287381184583,120.377142857143,20
"Livingston","perc_ct",9.50865496710244,104.81,21
"Allegany","perc_ct",9.47060379971993,94.3433333333333,22
"Onondaga","perc_ct",9.25360471042687,111.6425,23
"Cayuga","perc_ct",9.00836831031034,113.245,24
"Erie","perc_ct",8.91491584075718,108.46625,25
"Otsego","perc_ct",7.7080250550005,58.6383333333333,26
"Herkimer","perc_ct",7.43826031886924,79.1816666666667,27
"Schoharie","perc_ct",4.93202184025994,69.56,28
"Wyoming","perc_ct",4.86953282734526,95.6914285714286,29
"Montgomery","perc_ct",4.84719995749184,72.82,30
"Franklin","perc_ct",1.68843276102483,83.7833333333333,31
"Fulton","perc_ct",1.29430456679507,97.45,32
"Orange","perc_ct",0.594231671197589,117.87,33
"Suffolk","perc_cc",44.3965736130833,116.04,1
"Albany","perc_cc",40.0221343581,124.58,2
"Delaware","perc_cc",26.8806285648982,69.2533333333333,3
"Washington","perc_cc",21.2643928950209,71.25,4
"Rensselaer","perc_cc",18.7011321957721,75.878,5
"Columbia","perc_cc",15.1275006699885,81.4183333333333,6
"Saratoga","perc_cc",14.3763074212509,71.87,7
"Dutchess","perc_cc",12.9075736444299,95.8,8
"Orange","perc_cc",11.9317442695262,103.274,9
"Sullivan","perc_cc",11.094877025437,67.605,10
"Broome","perc_cc",10.9922039372072,63.77,11
"Chenango","perc_cc",10.6988371371778,66.1233333333333,12
"Schoharie","perc_cc",10.6780238532039,69.56,13
"Ulster","perc_cc",10.3598762840575,114.64,14
"Chemung","perc_cc",9.7216411803441,63.4775,15
"Onondaga","perc_cc",9.6050662582294,111.6425,16
"Montgomery","perc_cc",8.87576182459228,72.82,17
"Erie","perc_cc",8.45136982314707,108.46625,18
"Oswego","perc_cc",8.1181089703948,102.006,19
"Chautauqua","perc_cc",7.95825000146952,95.952,20
"Madison","perc_cc",7.7805618301559,77.5375,21
"Cayuga","perc_cc",7.65186799524273,113.245,22
"Tioga","perc_cc",7.33795763345092,61.995,23
"Cattaraugus","perc_cc",6.76633848215578,88.9933333333333,24
"Genesee","perc_cc",6.67373961286232,103.131428571429,25
"Tompkins","perc_cc",5.84549171952998,89.9271428571429,26
"Oneida","perc_cc",5.63039539699438,79.2357142857143,27
"Cortland","perc_cc",5.54329618975095,70.618,28
"Jefferson","perc_cc",5.26802833918981,85.155,29
"Herkimer","perc_cc",5.09151258152799,79.1816666666667,30
"Wyoming","perc_cc",4.92623100782499,96.08,31
"Ontario","perc_cc",4.89894427413707,120.377142857143,32
"Lewis","perc_cc",4.33820666098511,85.914,33
"Steuben","perc_cc",3.8709920694149,93.98,34
"Franklin","perc_cc",3.81844489012647,83.7833333333333,35
"Otsego","perc_cc",3.68662942658974,59.59,36
"Seneca","perc_cc",3.23078506944348,124.67,37
"Allegany","perc_cc",3.18676039041055,94.0225,38
"Livingston","perc_cc",2.92429050775688,104.81,39
"Fulton","perc_cc",2.08979253445315,109.775,40
"Schuyler","perc_cc",1.97628111240171,84.625,41
"Seneca","perc_nt",43.6544880423953,124.67,1
"Oswego","perc_nt",42.9813464829753,103.511666666667,2
"Schuyler","perc_nt",42.2306285838656,84.625,3
"Cayuga","perc_nt",42.1493716293514,113.245,4
"Onondaga","perc_nt",40.0446316115206,111.6425,5
"Erie","perc_nt",36.8294990069473,108.46625,6
"Tioga","perc_nt",35.0729792177846,60.672,7
"Wyoming","perc_nt",34.4866185517834,96.08,8
"Livingston","perc_nt",34.3096358440955,104.81,9
"Tompkins","perc_nt",33.4708441851578,89.9271428571429,10
"Ontario","perc_nt",32.5768997642062,120.377142857143,11
"Genesee","perc_nt",29.035119899256,103.131428571429,12
"Allegany","perc_nt",26.8736969441041,91.36,13
"Chemung","perc_nt",25.7997446742531,66.506,14
"Lewis","perc_nt",24.6465795441586,87.8157142857143,15
"Steuben","perc_nt",23.8530683539034,91.9657142857143,16
"Chautauqua","perc_nt",22.7596797548577,91.3116666666667,17
"Chenango","perc_nt",21.681139603281,66.1233333333333,18
"Cortland","perc_nt",21.5605797477525,76.8683333333333,19
"Madison","perc_nt",21.39887396611,77.5375,20
"Oneida","perc_nt",21.2628281054235,79.02375,21
"Otsego","perc_nt",20.1215298269099,58.6383333333333,22
"Broome","perc_nt",19.4436080436142,63.77,23
"Cattaraugus","perc_nt",19.4145999219929,88.9933333333333,24
"Jefferson","perc_nt",18.119145512615,85.155,25
"Delaware","perc_nt",16.5025571130414,69.2533333333333,26
"Herkimer","perc_nt",15.6147911201842,79.1816666666667,27
"Sullivan","perc_nt",13.3399954645018,61.7533333333333,28
"Orange","perc_nt",8.5422516722093,103.274,29
"Montgomery","perc_nt",7.21889615631567,72.82,30
"Fulton","perc_nt",3.05547482055678,109.775,31
"Franklin","perc_nt",1.02163876555322,86.16,32
"Schoharie","perc_nt",0.659772754760952,69.56,33
"Herkimer","perc_rt",71.4609546553227,79.1816666666667,1
"Jefferson","perc_rt",65.9562936866223,85.155,2
"Sullivan","perc_rt",64.7992863001457,61.7533333333333,3
"Oneida","perc_rt",64.7837223789471,79.02375,4
"Madison","perc_rt",63.7330929060082,77.5375,5
"Otsego","perc_rt",63.4995716164744,58.6383333333333,6
"Lewis","perc_rt",62.5014026188978,87.8157142857143,7
"Cortland","perc_rt",61.8565597818399,76.8683333333333,8
"Chenango","perc_rt",61.5430709405588,66.1233333333333,9
"Allegany","perc_rt",61.4370041214278,91.36,10
"Delaware","perc_rt",61.2884200064794,69.2533333333333,11
"Cattaraugus","perc_rt",57.638556723514,88.9933333333333,12
"Chautauqua","perc_rt",54.5793830907487,91.3116666666667,13
"Wyoming","perc_rt",54.4207686654588,96.08,14
"Steuben","perc_rt",53.0813088607851,91.9657142857143,15
"Tompkins","perc_rt",52.2674871230549,89.9271428571429,16
"Ontario","perc_rt",51.3641161337485,120.377142857143,17
"Broome","perc_rt",50.4661197832194,63.77,18
"Genesee","perc_rt",50.039199431982,103.131428571429,19
"Onondaga","perc_rt",49.0950918486416,111.6425,20
"Chemung","perc_rt",48.665237070961,66.506,21
"Tioga","perc_rt",47.8183163268407,60.672,22
"Livingston","perc_rt",47.8146841200064,104.81,23
"Cayuga","perc_rt",46.6357438691239,113.245,24
"Oswego","perc_rt",43.5603776924368,103.511666666667,25
"Erie","perc_rt",42.3288951346688,108.46625,26
"Schuyler","perc_rt",41.1700399841387,84.625,27
"Montgomery","perc_rt",40.1371765908386,72.82,28
"Seneca","perc_rt",39.0966187860217,124.67,29
"Fulton","perc_rt",25.2950442238772,91.4266666666667,30
"Schoharie","perc_rt",10.6141733495237,69.56,31
"Orange","perc_rt",6.97062100045805,103.274,32
"Franklin","perc_rt",5.28246846513685,83.7833333333333,33
