"county","variable","mean.perc","mean.eval","rank"
"Broome","perc_ct",26.3059212050709,63.77,1
"Chemung","perc_ct",25.105895599539,66.506,2
"Steuben","perc_ct",19.7595569609028,91.9657142857143,3
"Sullivan","perc_ct",18.9681710535506,61.7533333333333,4
"Chautauqua","perc_ct",17.2974963828144,91.3116666666667,5
"Suffolk","perc_cc",44.3965736130833,116.04,1
"Albany","perc_cc",40.0221343581,124.58,2
"Delaware","perc_cc",26.8806285648982,69.2533333333333,3
"Washington","perc_cc",21.2643928950209,71.25,4
"Rensselaer","perc_cc",18.7011321957721,75.878,5
"Seneca","perc_nt",43.6544880423953,124.67,1
"Oswego","perc_nt",42.9813464829753,103.511666666667,2
"Schuyler","perc_nt",42.2306285838656,84.625,3
"Cayuga","perc_nt",42.1493716293514,113.245,4
"Onondaga","perc_nt",40.0446316115206,111.6425,5
"Herkimer","perc_rt",71.4609546553227,79.1816666666667,1
"Jefferson","perc_rt",65.9562936866223,85.155,2
"Sullivan","perc_rt",64.7992863001457,61.7533333333333,3
"Oneida","perc_rt",64.7837223789471,79.02375,4
"Madison","perc_rt",63.7330929060082,77.5375,5
