"site_name","crop","state","mukey","claytotal_r","sandtotal_r","dbthirdbar_r","ph1to1h2o_r","om_r","long","lat","texture","field.capacity","wilting.point","water.holding.capacity"
"a_1","Almond","CA",463788,13,67.4000015258789,1.54999995231628,7,0.25,35.595294,-119.252501,"silt loam",0.4,0.2,0.2
"a_10","Almond","CA",463207,14,69.5999984741211,1.54999995231628,6.69999980926514,0.75,37.519323,-120.586301,"silt loam",0.4,0.2,0.2
"a_11","Almond","CA",466479,16,65.0999984741211,1.54999995231628,8.19999980926514,0.75,35.03368,-118.919819,"silt loam",0.4,0.2,0.2
"a_12","Almond","CA",456115,16,65.0999984741211,1.60000002384186,6.09999990463257,0.75,38.455783125,-121.939121,"silt loam",0.4,0.2,0.2
"a_13","Almond","CA",461575,16.3348147639522,56.3066685429326,1.55444443667376,6.31406872713208,0.93888889948527,38.989175,-122.028313,"silt loam",0.4,0.2,0.2
"a_14","Almond","CA",463055,14,30.3999996185303,1.54999995231628,7,1.25,37.249271,-120.281048,"silt loam",0.4,0.2,0.2
"a_15","Almond","CA",461211,17,29.2999992370605,1.5,6.75963731050576,1.25,39.598852,-121.693225,"loam",0.49,0.22,0.27
"a_16","Almond","CA",461780,13,67.4000015258789,1.53999996185303,8.19999980926514,2.125,36.105442,-119.593514,"silt loam",0.4,0.2,0.2
"a_2","Almond","CA",463690,14,67.0999984741211,1.5,7.90000009536743,0.25,35.496745,-119.155158,"silt loam",0.4,0.2,0.2
"a_3","Almond","CA",464307,21.25,52,1.46499997377396,8.69999980926514,0.5,36.613077,-120.059401,"loam",0.49,0.22,0.27
"a_4","Almond","CA",2766030,16,61.7833347320557,1.54166662693023,8.31514826937664,0.533333333830039,35.411338,-119.436163,"silt loam",0.4,0.2,0.2
"a_5","Almond","CA",462743,14.8176470588235,66.3564723295324,1.56352938343497,6.38779226356147,0.579411764705882,37.544886,-120.70279,"silt loam",0.4,0.2,0.2
"a_6","Almond","CA",2766120,12.4666666666667,70.9033353169759,1.54999995231628,8.03910602171685,0.598333333681027,35.653698,-119.89902,"silt loam",0.4,0.2,0.2
"a_7","Almond","CA",464346,13,71,1.61933333873749,7.02026265981429,0.716666666666667,36.520517,-119.733546,"silt loam",0.4,0.2,0.2
"a_8","Almond","CA",459229,19.1666666666667,42.006666692098,1.49000000158946,6.11778576446713,0.716666666666667,38.686986,-122.058451,"loam",0.49,0.22,0.27
"a_9","Almond","CA",464329,12.5,68,1.54999995231628,6.69999980926514,0.75,36.758122,-120.080092,"silt loam",0.4,0.2,0.2
"f_1","forage","NY",294222,16.6666666666667,31.8199993133545,1.33499998648961,5.90237309944442,2.01666666666667,42.768826,-75.268549,"loam",0.49,0.22,0.27
"f_10","forage","NY",290501,15.0350877192982,38.119298245614,1.35912280961087,5.22685656740675,3.62456140350877,42.317883,-74.635063,"silt loam",0.4,0.2,0.2
"f_11","forage","NY",299915,16.0833666578929,27.0190666491191,1.32001667976379,5.627268645777,3.66141666666667,42.481569,-78.187572,"silt loam",0.4,0.2,0.2
"f_12","forage","NY",290583,14.59,26.4083332570394,1.27841665585836,5.29256587905811,3.83166666666667,41.9709,-74.916705,"silt loam",0.4,0.2,0.2
