"site_name","crop_system_name","management","climate_scenario","year","NO3.yr"
"a_1","almond-a","ct-bc","rcp26",2013,0.390479
"a_1","almond-a","ct-bc","rcp26",2014,0.026837
"a_1","almond-a","ct-bc","rcp26",2015,0.013917
"a_1","almond-a","ct-bc","rcp26",2016,0.237068
"a_1","almond-a","ct-bc","rcp26",2017,0.137732
"a_1","almond-a","ct-bc","rcp26",2018,0.379327
"a_1","almond-a","ct-bc","rcp26",2019,0.21797
"a_1","almond-a","ct-bc","rcp26",2020,0.043765
"a_1","almond-a","ct-bc","rcp26",2021,0.175753
"a_1","almond-a","ct-bc","rcp26",2022,0.077307
"a_1","almond-a","ct-bc","rcp26",2023,0.651845
"a_1","almond-a","ct-bc","rcp26",2024,0.025006
"a_1","almond-a","ct-bc","rcp26",2025,0.171281
"a_1","almond-a","ct-bc","rcp26",2026,0.009377
"a_1","almond-a","ct-bc","rcp26",2027,0.300816
"a_1","almond-a","ct-bc","rcp26",2028,0.048745
"a_1","almond-a","ct-bc","rcp26",2029,0.03734
"a_1","almond-a","ct-bc","rcp26",2030,0.06244
"a_1","almond-a","ct-bc","rcp26",2031,0.078766
"a_1","almond-a","ct-bc","rcp26",2032,0.251403
"a_1","almond-a","ct-bc","rcp26",2033,0.45462
"a_1","almond-a","ct-bc","rcp26",2034,0.023933
"a_1","almond-a","ct-bc","rcp26",2035,0.019041
"a_1","almond-a","ct-bc","rcp26",2036,0.173455
"a_1","almond-a","ct-bc","rcp26",2037,0.423062
"a_1","almond-a","ct-bc","rcp26",2038,1.48395
"a_1","almond-a","ct-bc","rcp26",2039,1.795584
"a_1","almond-a","ct-bc","rcp26",2040,0.275725
"a_1","almond-a","ct-bc","rcp26",2041,0.036682
"a_1","almond-a","ct-bc","rcp26",2042,0.109374
"a_1","almond-a","ct-bc","rcp26",2043,0.425302
"a_1","almond-a","ct-bc","rcp26",2044,0.065077
"a_1","almond-a","ct-bc","rcp26",2045,0.060316
"a_1","almond-a","ct-bc","rcp26",2046,0.064734
"a_1","almond-a","ct-bc","rcp26",2047,0.400081
"a_1","almond-a","ct-bc","rcp26",2048,0.553297
"a_1","almond-a","ct-bc","rcp26",2049,0.043577
