"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_1","almond-a","ct-bc","rcp26",2013,0,102.727611,30.495131,55.252902,37674.863409
"a_1","almond-a","ct-bc","rcp26",2014,28.41706,113.18131,0.000202,19.407438,15873.623157
"a_1","almond-a","ct-bc","rcp26",2015,4.994754,72.455387,0,6.158432,3507.132508
"a_1","almond-a","ct-bc","rcp26",2016,15.449555,149.011092,3.07822,0,0
"a_1","almond-a","ct-bc","rcp26",2017,12.05286,170.763547,7.006132,0,0
"a_1","almond-a","ct-bc","rcp26",2018,13.76415,175.040814,6.849185,1.494233,4276.884705
"a_1","almond-a","ct-bc","rcp26",2019,9.447293,77.870888,0,0,0
"a_1","almond-a","ct-bc","rcp26",2020,10.000344,112.791716,0,0,0
"a_1","almond-a","ct-bc","rcp26",2021,12.772237,162.927906,1.16942,0,0
"a_1","almond-a","ct-bc","rcp26",2022,13.998194,173.125203,3.646384,0,0
"a_1","almond-a","ct-bc","rcp26",2023,14.532535,204.301053,164.662284,16.196512,20294.271749
"a_1","almond-a","ct-bc","rcp26",2024,10.96518,85.435269,7.539072,0,0
"a_1","almond-a","ct-bc","rcp26",2025,14.387079,173.563331,77.949355,1.650731,2536.169088
"a_1","almond-a","ct-bc","rcp26",2026,10.707195,88.479062,0,0,0
"a_1","almond-a","ct-bc","rcp26",2027,11.272343,141.876093,0,0,0
"a_1","almond-a","ct-bc","rcp26",2028,12.417762,116.728537,0,0,0
"a_1","almond-a","ct-bc","rcp26",2029,13.570608,119.211329,0,0,0
"a_1","almond-a","ct-bc","rcp26",2030,13.745546,148.856752,1.408071,0,0
"a_1","almond-a","ct-bc","rcp26",2031,12.776809,124.168574,0,0,0
"a_1","almond-a","ct-bc","rcp26",2032,17.357328,207.330551,90.881225,0.369683,473.845245
"a_1","almond-a","ct-bc","rcp26",2033,15.737264,236.99233,119.674395,0.623193,1246.1536
"a_1","almond-a","ct-bc","rcp26",2034,12.673121,116.506352,0,0,0
"a_1","almond-a","ct-bc","rcp26",2035,11.341372,67.204383,0,0,0
"a_1","almond-a","ct-bc","rcp26",2036,15.873289,185.718314,7.241321,0,0
"a_1","almond-a","ct-bc","rcp26",2037,15.4182,211.848157,21.007634,0.714393,766.422878
"a_1","almond-a","ct-bc","rcp26",2038,14.722861,205.790563,9.441911,0,0
"a_1","almond-a","ct-bc","rcp26",2039,17.754487,241.081993,311.471207,3.208555,5930.328685
"a_1","almond-a","ct-bc","rcp26",2040,15.820689,191.227366,128.587215,4.146678,19512.245192
"a_1","almond-a","ct-bc","rcp26",2041,15.806884,151.044008,0.69213,0,0
"a_1","almond-a","ct-bc","rcp26",2042,16.995335,196.798171,8.698689,0,0
"a_1","almond-a","ct-bc","rcp26",2043,16.178457,199.388683,17.469331,1.239822,4632.52211
"a_1","almond-a","ct-bc","rcp26",2044,11.685546,73.184384,0,0,0
"a_1","almond-a","ct-bc","rcp26",2045,13.90862,101.764582,0,0,0
"a_1","almond-a","ct-bc","rcp26",2046,3.410662,98.714512,0,0,0
"a_1","almond-a","ct-bc","rcp26",2047,19.043496,39.887776,0,0,0
"a_1","almond-a","ct-bc","rcp26",2048,14.132149,180.266469,11.962536,0.257004,238.00338
"a_1","almond-a","ct-bc","rcp26",2049,13.041532,94.654796,0,0,0
"a_1","almond-a","ct-bc","rcp26",2050,15.182941,148.292167,3.044996,0.019992,44.980362
"a_1","almond-a","ct-bc","rcp26",2051,12.864698,144.491608,0,0.415165,0
"a_1","almond-a","ct-bc","rcp26",2052,13.214603,129.56415,0,0,0
"a_1","almond-a","ct-bc","rcp26",2053,14.576433,233.049814,37.741357,1.006982,1098.174762
"a_1","almond-a","ct-bc","rcp26",2054,16.280002,201.496703,227.029715,3.382343,7401.570176
"a_1","almond-a","ct-bc","rcp26",2055,16.296969,198.549176,32.147322,0.000747,1.103473
"a_1","almond-a","ct-bc","rcp26",2056,0.92725,112.618572,0,0,0
"a_1","almond-a","ct-bc","rcp26",2057,20.839454,166.580281,0,0,0
"a_1","almond-a","ct-bc","rcp26",2058,14.796308,163.651214,7.34564,0,0
"a_1","almond-a","ct-bc","rcp26",2059,8.543612,98.841822,0,0,0
"a_1","almond-a","ct-bc","rcp26",2060,14.957663,122.088836,0,0,0
"a_1","almond-a","ct-bc","rcp26",2061,11.678368,131.774468,0,0,0
"a_1","almond-a","ct-bc","rcp26",2062,15.798409,221.536693,39.524794,2.563253,10885.386373
"a_1","almond-a","ct-bc","rcp26",2063,11.710942,114.121238,0,0,0
"a_1","almond-a","ct-bc","rcp26",2064,14.082216,180.857586,6.520423,0,0
"a_1","almond-a","ct-bc","rcp26",2065,16.298754,224.248253,18.990109,0,0
"a_1","almond-a","ct-bc","rcp26",2066,16.053506,208.815485,15.906784,0.117612,317.127202
"a_1","almond-a","ct-bc","rcp26",2067,18.213427,234.27302,11.299969,0,0
"a_1","almond-a","ct-bc","rcp26",2068,12.345372,88.698921,1.218589,0,0
"a_1","almond-a","ct-bc","rcp26",2069,16.409108,237.33598,18.422377,0.424834,986.256275
"a_1","almond-a","ct-bc","rcp26",2070,12.07079,79.568007,0,0,0
"a_1","almond-a","ct-bc","rcp26",2071,14.774598,151.328583,0,0,0
"a_1","almond-a","ct-bc","rcp26",2072,15.493536,190.884632,16.957683,1.913175,2671.571692
"a_1","almond-a","ct-bc","rcp26",2073,1.072993,122.104925,7.83318,0.423805,1338.004178
"a_1","almond-a","ct-bc","rcp60",2013,0,118.238155,60.720313,98.85608,81252.194803
"a_1","almond-a","ct-bc","rcp60",2014,26.608147,135.459092,0.000201,75.340661,58435.7598
"a_1","almond-a","ct-bc","rcp60",2015,10.478543,91.308267,0,9.509431,7680.66529
"a_1","almond-a","ct-bc","rcp60",2016,13.951677,210.834754,118.397634,4.282544,7461.617418
"a_1","almond-a","ct-bc","rcp60",2017,15.178045,230.160896,47.993875,0,0
"a_1","almond-a","ct-bc","rcp60",2018,14.440079,212.983876,88.574285,0.455977,452.484142
"a_1","almond-a","ct-bc","rcp60",2019,15.390315,151.445129,24.959951,1.25524,3878.439294
"a_1","almond-a","ct-bc","rcp60",2020,12.504268,118.37951,0,0,0
"a_1","almond-a","ct-bc","rcp60",2021,10.500902,83.257372,0,0,0
"a_1","almond-a","ct-bc","rcp60",2022,15.778089,207.752253,44.167475,1.484236,4849.204266
"a_1","almond-a","ct-bc","rcp60",2023,15.410693,201.208318,1.870566,0,0
"a_1","almond-a","ct-bc","rcp60",2024,14.369122,122.710232,0,0,0
"a_1","almond-a","ct-bc","rcp60",2025,16.222726,196.656756,16.254361,0,0
"a_1","almond-a","ct-bc","rcp60",2026,16.721552,173.647343,7.750706,0,0
"a_1","almond-a","ct-bc","rcp60",2027,10.937994,65.882894,0,0,0
"a_1","almond-a","ct-bc","rcp60",2028,12.004004,163.754856,0,0,0
"a_1","almond-a","ct-bc","rcp60",2029,12.885012,141.7819,0,0,0
"a_1","almond-a","ct-bc","rcp60",2030,11.057901,56.518876,1.2089,0,0
"a_1","almond-a","ct-bc","rcp60",2031,16.066527,174.83579,22.075016,0.07587,29.552758
"a_1","almond-a","ct-bc","rcp60",2032,15.972011,206.500945,12.147897,0,0
"a_1","almond-a","ct-bc","rcp60",2033,12.651341,110.099359,0,0,0
"a_1","almond-a","ct-bc","rcp60",2034,11.382735,110.417438,0,0,0
"a_1","almond-a","ct-bc","rcp60",2035,14.579942,174.623836,0,0,0
"a_1","almond-a","ct-bc","rcp60",2036,12.948851,132.887823,0,0,0
"a_1","almond-a","ct-bc","rcp60",2037,5.358412,65.027253,0,0,0
"a_1","almond-a","ct-bc","rcp60",2038,20.18758,166.68864,1.40058,0,0
