"site_name","year","till","cc","decade","nfert","trans.yrtot.in","evap.yrtot.in","leach.yrtot.in","run.yrtot.in","sed.yrtot.lbac","et.yrtot.in","grtot.in"
"a_1",2022,"CT","TC","2020s","Conventional N",1.92355545472441,7.50593810433071,2.09113113976378,0.0430984350393701,3028.66169229732,9.42949355905512,11.5637231338583
"a_1",2022,"CT","TC","2020s","Reduced N",1.67288061614173,7.70933794488189,2.12927767519685,0.0433138326771654,3044.92255400744,9.38221856102362,11.5548100688976
"a_1",2023,"CT","TC","2020s","Conventional N",2.12033342913386,7.32811950984252,0.202666807086614,0,0,9.44845293897638,9.65111974606299
"a_1",2023,"CT","TC","2020s","Reduced N",1.8261080511811,7.5130634507874,0.229368549212598,0,0,9.33917150196851,9.5685400511811
"a_1",2024,"CT","TC","2020s","Conventional N",2.09068515748032,5.08319738582677,0.0298281437007874,0,0,7.17388254330709,7.20371068700787
"a_1",2024,"CT","TC","2020s","Reduced N",1.75672694094488,5.32040399015748,0.058367125984252,0,0,7.07713093110236,7.13549805708662
"a_1",2025,"CT","TC","2020s","Conventional N",2.01688418307087,7.21332351377953,0.915689165354331,0,0,9.23020769685039,10.1458968622047
"a_1",2025,"CT","TC","2020s","Reduced N",1.75188658858268,7.42527794291339,1.13626160826772,0,0,9.17716453149606,10.3134261397638
"a_1",2026,"CT","TC","2020s","Conventional N",2.33987209448819,6.48746919291339,0.243886874015748,0,0,8.82734128740158,9.07122816141732
"a_1",2026,"CT","TC","2020s","Reduced N",1.91170136417323,6.7817402972441,0.273050311023622,0,0,8.69344166141732,8.96649197244095
"a_1",2027,"CT","TC","2020s","Conventional N",1.97595030708661,6.47558865551181,0,0,0,8.45153896259843,8.45153896259843
"a_1",2027,"CT","TC","2020s","Reduced N",1.7954802519685,6.57960652755906,0,0,0,8.37508677952756,8.37508677952756
"a_1",2028,"CT","TC","2020s","Conventional N",1.49178090551181,8.28262376574803,0,0,0,9.77440467125984,9.77440467125984
"a_1",2028,"CT","TC","2020s","Reduced N",1.49123943503937,8.29973421850394,0,0,0,9.79097365354331,9.79097365354331
"a_1",2029,"CT","TC","2020s","Conventional N",2.0606136023622,7.24017224212599,0,0,0,9.30078584448819,9.30078584448819
"a_1",2029,"CT","TC","2020s","Reduced N",1.97152024606299,7.30372478543307,0,0,0,9.27524503149606,9.27524503149606
"a_1",2030,"CT","TC","2020s","Conventional N",1.13382115748031,5.30792227952756,0.0627185452755906,0,0,6.44174343700787,6.50446198228347
"a_1",2030,"CT","TC","2020s","Reduced N",1.13951953937008,5.29833871456693,0.0629712007874016,0,0,6.43785825393701,6.50082945472441
"a_1",2031,"CT","TC","2030s","Conventional N",2.20729803543307,7.82452028937008,0.801388135826772,0.00164285433070866,14.5015664066487,10.0318183248031,10.8348493149606
"a_1",2031,"CT","TC","2030s","Reduced N",1.74599966929134,7.42087395669291,0.806141553149606,0.00164285433070866,14.5015664066487,9.16687362598425,9.97465803346457
"a_1",2032,"CT","TC","2030s","Conventional N",2.03760628543307,7.18118638385827,0.598821159448819,0,0,9.21879266929134,9.81761382874016
"a_1",2032,"CT","TC","2030s","Reduced N",1.82454436023622,7.40936623622047,0.588661541338583,0,0,9.23391059645669,9.82257213779528
"a_1",2033,"CT","TC","2030s","Conventional N",2.21777631692913,7.0857958503937,0,0,0,9.30357216732284,9.30357216732284
"a_1",2033,"CT","TC","2030s","Reduced N",1.94221929527559,6.2387385984252,0,0,0,8.18095789370079,8.18095789370079
"a_1",2034,"CT","TC","2030s","Conventional N",1.61677012795276,7.43769503937008,0,0,0,9.05446516732284,9.05446516732284
"a_1",2034,"CT","TC","2030s","Reduced N",1.59809268307087,7.50577328937008,0,0,0,9.10386597244095,9.10386597244095
"a_1",2035,"CT","TC","2030s","Conventional N",2.01214188976378,8.16668595866142,0,0,0,10.1788278484252,10.1788278484252
"a_1",2035,"CT","TC","2030s","Reduced N",2.01133704527559,8.16117198818898,0,0,0,10.1725090334646,10.1725090334646
"a_1",2036,"CT","TC","2030s","Conventional N",2.09743819094488,7.77972680314961,0,0,0,9.87716499409449,9.87716499409449
"a_1",2036,"CT","TC","2030s","Reduced N",1.82410230905512,7.71858636614173,0,0,0,9.54268867519685,9.54268867519685
"a_1",2037,"CT","TC","2030s","Conventional N",1.4129597519685,6.13074854527559,0,0,0,7.5437082972441,7.5437082972441
