"site_name","crop_system_name","management","climate_scenario","year","NO3.yr"
"v_1","grape-a","ct-bc","rcp26",2013,0.66228
"v_1","grape-a","ct-bc","rcp26",2014,2.822221
"v_1","grape-a","ct-bc","rcp26",2015,6.409392
"v_1","grape-a","ct-bc","rcp26",2016,13.222296
"v_1","grape-a","ct-bc","rcp26",2017,33.55427
"v_1","grape-a","ct-bc","rcp26",2018,3.104326
"v_1","grape-a","ct-bc","rcp26",2019,0.73215
"v_1","grape-a","ct-bc","rcp26",2020,21.671703
"v_1","grape-a","ct-bc","rcp26",2021,12.861265
"v_1","grape-a","ct-bc","rcp26",2022,4.145136
"v_1","grape-a","ct-bc","rcp26",2023,6.180094
"v_1","grape-a","ct-bc","rcp26",2024,10.405602
"v_1","grape-a","ct-bc","rcp26",2025,2.39741
"v_1","grape-a","ct-bc","rcp26",2026,12.971697
"v_1","grape-a","ct-bc","rcp26",2027,11.529566
"v_1","grape-a","ct-bc","rcp26",2028,18.794824
"v_1","grape-a","ct-bc","rcp26",2029,1.223132
"v_1","grape-a","ct-bc","rcp26",2030,18.836201
"v_1","grape-a","ct-bc","rcp26",2031,12.889538
"v_1","grape-a","ct-bc","rcp26",2032,22.217011
"v_1","grape-a","ct-bc","rcp26",2033,6.790868
"v_1","grape-a","ct-bc","rcp26",2034,12.463388
"v_1","grape-a","ct-bc","rcp26",2035,20.11151
"v_1","grape-a","ct-bc","rcp26",2036,27.030204
"v_1","grape-a","ct-bc","rcp26",2037,19.345768
"v_1","grape-a","ct-bc","rcp26",2038,25.702158
"v_1","grape-a","ct-bc","rcp26",2039,23.556814
"v_1","grape-a","ct-bc","rcp26",2040,16.956789
"v_1","grape-a","ct-bc","rcp26",2041,17.387921
"v_1","grape-a","ct-bc","rcp26",2042,4.536761
"v_1","grape-a","ct-bc","rcp26",2043,30.803534
"v_1","grape-a","ct-bc","rcp26",2044,1.244584
"v_1","grape-a","ct-bc","rcp26",2045,45.496398
"v_1","grape-a","ct-bc","rcp26",2046,16.061083
"v_1","grape-a","ct-bc","rcp26",2047,47.452179
"v_1","grape-a","ct-bc","rcp26",2048,40.641628
"v_1","grape-a","ct-bc","rcp26",2049,27.045237
"v_1","grape-a","ct-bc","rcp26",2050,37.222378
"v_1","grape-a","ct-bc","rcp26",2051,26.222706
"v_1","grape-a","ct-bc","rcp26",2052,37.139176
"v_1","grape-a","ct-bc","rcp26",2053,40.144626
"v_1","grape-a","ct-bc","rcp26",2054,6.373096
"v_1","grape-a","ct-bc","rcp26",2055,31.071882
"v_1","grape-a","ct-bc","rcp26",2056,19.632918
"v_1","grape-a","ct-bc","rcp26",2057,74.487622
"v_1","grape-a","ct-bc","rcp26",2058,19.914895
"v_1","grape-a","ct-bc","rcp26",2059,22.353782
"v_1","grape-a","ct-bc","rcp26",2060,18.392118
"v_1","grape-a","ct-bc","rcp26",2061,20.775295
"v_1","grape-a","ct-bc","rcp26",2062,8.539108
"v_1","grape-a","ct-bc","rcp26",2063,32.535272
"v_1","grape-a","ct-bc","rcp26",2064,63.678489
"v_1","grape-a","ct-bc","rcp26",2065,28.365261
"v_1","grape-a","ct-bc","rcp26",2066,16.43201
"v_1","grape-a","ct-bc","rcp26",2067,6.290501
"v_1","grape-a","ct-bc","rcp26",2068,30.602146
"v_1","grape-a","ct-bc","rcp26",2069,16.896494
"v_1","grape-a","ct-bc","rcp26",2070,60.830619
"v_1","grape-a","ct-bc","rcp26",2071,27.791675
"v_1","grape-a","ct-bc","rcp26",2072,68.468456
"v_1","grape-a","ct-bc","rcp26",2073,78.480343
"v_1","grape-a","ct-bc","rcp60",2013,3.893168
"v_1","grape-a","ct-bc","rcp60",2014,2.662415
"v_1","grape-a","ct-bc","rcp60",2015,12.518393
"v_1","grape-a","ct-bc","rcp60",2016,2.231323
"v_1","grape-a","ct-bc","rcp60",2017,0.378755
"v_1","grape-a","ct-bc","rcp60",2018,5.231775
"v_1","grape-a","ct-bc","rcp60",2019,1.717027
"v_1","grape-a","ct-bc","rcp60",2020,3.21549
"v_1","grape-a","ct-bc","rcp60",2021,8.532713
"v_1","grape-a","ct-bc","rcp60",2022,8.086429
"v_1","grape-a","ct-bc","rcp60",2023,6.656402
"v_1","grape-a","ct-bc","rcp60",2024,4.995003
"v_1","grape-a","ct-bc","rcp60",2025,15.387725
"v_1","grape-a","ct-bc","rcp60",2026,5.267372
"v_1","grape-a","ct-bc","rcp60",2027,14.429943
"v_1","grape-a","ct-bc","rcp60",2028,48.651521
"v_1","grape-a","ct-bc","rcp60",2029,14.271263
"v_1","grape-a","ct-bc","rcp60",2030,26.977611
"v_1","grape-a","ct-bc","rcp60",2031,22.993343
"v_1","grape-a","ct-bc","rcp60",2032,2.842879
"v_1","grape-a","ct-bc","rcp60",2033,28.425029
"v_1","grape-a","ct-bc","rcp60",2034,17.647024
"v_1","grape-a","ct-bc","rcp60",2035,38.354938
"v_1","grape-a","ct-bc","rcp60",2036,27.079307
"v_1","grape-a","ct-bc","rcp60",2037,10.515415
"v_1","grape-a","ct-bc","rcp60",2038,14.362971
"v_1","grape-a","ct-bc","rcp60",2039,15.826872
"v_1","grape-a","ct-bc","rcp60",2040,9.095465
"v_1","grape-a","ct-bc","rcp60",2041,48.772107
"v_1","grape-a","ct-bc","rcp60",2042,25.169234
"v_1","grape-a","ct-bc","rcp60",2043,48.181505
"v_1","grape-a","ct-bc","rcp60",2044,38.305057
"v_1","grape-a","ct-bc","rcp60",2045,22.523275
"v_1","grape-a","ct-bc","rcp60",2046,8.751492
"v_1","grape-a","ct-bc","rcp60",2047,36.817756
"v_1","grape-a","ct-bc","rcp60",2048,24.572224
"v_1","grape-a","ct-bc","rcp60",2049,84.867213
"v_1","grape-a","ct-bc","rcp60",2050,9.387438
"v_1","grape-a","ct-bc","rcp60",2051,24.400423
"v_1","grape-a","ct-bc","rcp60",2052,7.864857
"v_1","grape-a","ct-bc","rcp60",2053,7.820075
"v_1","grape-a","ct-bc","rcp60",2054,18.859923
"v_1","grape-a","ct-bc","rcp60",2055,12.603413
"v_1","grape-a","ct-bc","rcp60",2056,14.316753
"v_1","grape-a","ct-bc","rcp60",2057,10.834728
"v_1","grape-a","ct-bc","rcp60",2058,31.374764
"v_1","grape-a","ct-bc","rcp60",2059,41.426724
"v_1","grape-a","ct-bc","rcp60",2060,3.284918
"v_1","grape-a","ct-bc","rcp60",2061,18.303868
"v_1","grape-a","ct-bc","rcp60",2062,71.317429
"v_1","grape-a","ct-bc","rcp60",2063,7.212362
"v_1","grape-a","ct-bc","rcp60",2064,50.70418
"v_1","grape-a","ct-bc","rcp60",2065,27.120402
"v_1","grape-a","ct-bc","rcp60",2066,21.464809
"v_1","grape-a","ct-bc","rcp60",2067,64.629381
"v_1","grape-a","ct-bc","rcp60",2068,53.12238
"v_1","grape-a","ct-bc","rcp60",2069,36.275343
"v_1","grape-a","ct-bc","rcp60",2070,40.506916
"v_1","grape-a","ct-bc","rcp60",2071,20.059858
"v_1","grape-a","ct-bc","rcp60",2072,9.133714
"v_1","grape-a","ct-bc","rcp60",2073,46.577465
"v_1","grape-a","ct-lc","rcp26",2013,0.66228
"v_1","grape-a","ct-lc","rcp26",2014,2.822107
"v_1","grape-a","ct-lc","rcp26",2015,3.827961
"v_1","grape-a","ct-lc","rcp26",2016,4.780847
"v_1","grape-a","ct-lc","rcp26",2017,31.876667
"v_1","grape-a","ct-lc","rcp26",2018,41.319055
"v_1","grape-a","ct-lc","rcp26",2019,3.851437
"v_1","grape-a","ct-lc","rcp26",2020,44.674888
"v_1","grape-a","ct-lc","rcp26",2021,87.458184
"v_1","grape-a","ct-lc","rcp26",2022,51.499293
"v_1","grape-a","ct-lc","rcp26",2023,86.856862
"v_1","grape-a","ct-lc","rcp26",2024,123.675553
"v_1","grape-a","ct-lc","rcp26",2025,40.856435
"v_1","grape-a","ct-lc","rcp26",2026,80.411255
"v_1","grape-a","ct-lc","rcp26",2027,75.931752
"v_1","grape-a","ct-lc","rcp26",2028,84.548993
"v_1","grape-a","ct-lc","rcp26",2029,68.30159
"v_1","grape-a","ct-lc","rcp26",2030,91.720535
"v_1","grape-a","ct-lc","rcp26",2031,51.275276
"v_1","grape-a","ct-lc","rcp26",2032,260.873356
"v_1","grape-a","ct-lc","rcp26",2033,96.425796
"v_1","grape-a","ct-lc","rcp26",2034,42.729262
"v_1","grape-a","ct-lc","rcp26",2035,76.284597
"v_1","grape-a","ct-lc","rcp26",2036,154.362046
"v_1","grape-a","ct-lc","rcp26",2037,145.39197
"v_1","grape-a","ct-lc","rcp26",2038,120.932976
"v_1","grape-a","ct-lc","rcp26",2039,237.559006
"v_1","grape-a","ct-lc","rcp26",2040,137.865456
"v_1","grape-a","ct-lc","rcp26",2041,146.518122
"v_1","grape-a","ct-lc","rcp26",2042,74.997639
"v_1","grape-a","ct-lc","rcp26",2043,78.794075
"v_1","grape-a","ct-lc","rcp26",2044,1.947766
"v_1","grape-a","ct-lc","rcp26",2045,201.561065
"v_1","grape-a","ct-lc","rcp26",2046,86.576063
"v_1","grape-a","ct-lc","rcp26",2047,138.82457
"v_1","grape-a","ct-lc","rcp26",2048,267.010416
"v_1","grape-a","ct-lc","rcp26",2049,98.184054
"v_1","grape-a","ct-lc","rcp26",2050,66.634736
"v_1","grape-a","ct-lc","rcp26",2051,61.200995
"v_1","grape-a","ct-lc","rcp26",2052,100.782743
"v_1","grape-a","ct-lc","rcp26",2053,399.102581
"v_1","grape-a","ct-lc","rcp26",2054,91.686752
"v_1","grape-a","ct-lc","rcp26",2055,142.371503
"v_1","grape-a","ct-lc","rcp26",2056,34.134935
"v_1","grape-a","ct-lc","rcp26",2057,219.866803
"v_1","grape-a","ct-lc","rcp26",2058,77.416489
"v_1","grape-a","ct-lc","rcp26",2059,55.013024
"v_1","grape-a","ct-lc","rcp26",2060,120.324251
"v_1","grape-a","ct-lc","rcp26",2061,43.716634
"v_1","grape-a","ct-lc","rcp26",2062,309.736141
"v_1","grape-a","ct-lc","rcp26",2063,56.54275
"v_1","grape-a","ct-lc","rcp26",2064,190.3685
"v_1","grape-a","ct-lc","rcp26",2065,198.41185
"v_1","grape-a","ct-lc","rcp26",2066,208.200955
"v_1","grape-a","ct-lc","rcp26",2067,104.262783
"v_1","grape-a","ct-lc","rcp26",2068,141.839694
"v_1","grape-a","ct-lc","rcp26",2069,124.826454
"v_1","grape-a","ct-lc","rcp26",2070,177.358885
"v_1","grape-a","ct-lc","rcp26",2071,93.624044
"v_1","grape-a","ct-lc","rcp26",2072,199.414735
"v_1","grape-a","ct-lc","rcp26",2073,266.035525
"v_1","grape-a","ct-lc","rcp60",2013,3.893168
"v_1","grape-a","ct-lc","rcp60",2014,2.661371
"v_1","grape-a","ct-lc","rcp60",2015,9.160885
"v_1","grape-a","ct-lc","rcp60",2016,23.182541
"v_1","grape-a","ct-lc","rcp60",2017,22.603006
"v_1","grape-a","ct-lc","rcp60",2018,34.3454
"v_1","grape-a","ct-lc","rcp60",2019,74.63239
"v_1","grape-a","ct-lc","rcp60",2020,20.8585
"v_1","grape-a","ct-lc","rcp60",2021,42.862752
"v_1","grape-a","ct-lc","rcp60",2022,151.65692
"v_1","grape-a","ct-lc","rcp60",2023,46.26988
"v_1","grape-a","ct-lc","rcp60",2024,84.753538
"v_1","grape-a","ct-lc","rcp60",2025,195.538359
"v_1","grape-a","ct-lc","rcp60",2026,60.340986
"v_1","grape-a","ct-lc","rcp60",2027,38.040887
"v_1","grape-a","ct-lc","rcp60",2028,149.190259
"v_1","grape-a","ct-lc","rcp60",2029,96.438294
"v_1","grape-a","ct-lc","rcp60",2030,65.558756
"v_1","grape-a","ct-lc","rcp60",2031,147.57652
"v_1","grape-a","ct-lc","rcp60",2032,141.655171
"v_1","grape-a","ct-lc","rcp60",2033,82.148203
"v_1","grape-a","ct-lc","rcp60",2034,39.500237
"v_1","grape-a","ct-lc","rcp60",2035,181.681455
"v_1","grape-a","ct-lc","rcp60",2036,157.030773
"v_1","grape-a","ct-lc","rcp60",2037,70.129357
"v_1","grape-a","ct-lc","rcp60",2038,122.6496
"v_1","grape-a","ct-lc","rcp60",2039,29.053829
"v_1","grape-a","ct-lc","rcp60",2040,21.015166
"v_1","grape-a","ct-lc","rcp60",2041,274.461978
"v_1","grape-a","ct-lc","rcp60",2042,40.477597
"v_1","grape-a","ct-lc","rcp60",2043,131.260235
"v_1","grape-a","ct-lc","rcp60",2044,214.677314
