"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_1","grape-c","cn","rcp26",2014,49.951422,157.465645,52.935372,97.63903,163.934219847648
"v_1","grape-c","cn","rcp26",2015,63.435071,148.198947,13.48918,26.002271,59.6463744813575
"v_1","grape-c","cn","rcp26",2016,62.907586,195.550958,68.927942,48.383664,117.507549707473
"v_1","grape-c","cn","rcp26",2017,57.277839,179.527975,238.19059,208.290489,367.173835109507
"v_1","grape-c","cn","rcp26",2018,61.621121,202.085902,417.462259,316.106064,524.472715300892
"v_1","grape-c","cn","rcp26",2019,62.718081,194.728899,23.917509,27.156415,127.803303853992
"v_1","grape-c","cn","rcp26",2020,65.458267,167.979445,71.115274,94.730878,159.620431497547
"v_1","grape-c","cn","rcp26",2021,64.983562,189.027909,208.688306,153.137346,225.745355659487
"v_1","grape-c","cn","rcp26",2022,62.212914,203.518056,196.388449,150.420243,287.377698148792
"v_1","grape-c","cn","rcp26",2023,59.223401,162.524556,426.323677,354.524385,661.981641070008
"v_1","grape-c","cn","rcp26",2024,65.554331,162.631883,397.331467,344.507886,546.584464674709
"v_1","grape-c","cn","rcp26",2025,54.894393,180.362707,264.520477,197.459681,362.179098335547
"v_1","grape-c","cn","rcp26",2026,64.244421,136.225098,138.579058,96.036224,391.222504506667
"v_1","grape-c","cn","rcp26",2027,58.912295,218.32036,209.999556,111.90176,198.279736312108
"v_1","grape-c","cn","rcp26",2028,65.70713,193.883484,236.819091,188.232018,315.533222954353
"v_1","grape-c","cn","rcp26",2029,55.021965,151.325568,160.916979,81.871163,154.544368533594
"v_1","grape-c","cn","rcp26",2030,58.148072,164.757987,206.694443,117.835663,190.181762155779
"v_1","grape-c","cn","rcp26",2031,66.534356,165.694079,82.063367,43.387939,77.7725676893711
"v_1","grape-c","cn","rcp26",2032,63.307763,174.472803,502.113784,435.248531,809.243324470925
"v_1","grape-c","cn","rcp26",2033,53.742004,218.711765,489.746302,293.749472,561.234872723571
"v_1","grape-c","cn","rcp26",2034,59.145331,174.9301,133.008986,71.891947,184.593170223427
"v_1","grape-c","cn","rcp26",2035,62.125072,177.073951,116.528587,102.718493,218.94678384927
"v_1","grape-c","cn","rcp26",2036,59.472532,195.716733,344.070277,240.445761,467.179575985496
"v_1","grape-c","cn","rcp26",2037,55.196463,206.793851,372.706937,200.493133,305.474043570556
