"site_name","system","management","climate_scenario","year","NO3.yr"
"h_1","hops-a","ct-bc","rcp26",2013,12.467998
"h_1","hops-a","ct-bc","rcp26",2014,1.501055
"h_1","hops-a","ct-bc","rcp26",2015,1.854123
"h_1","hops-a","ct-bc","rcp26",2016,0.492158
"h_1","hops-a","ct-bc","rcp26",2017,1.981005
"h_1","hops-a","ct-bc","rcp26",2018,2.219726
"h_1","hops-a","ct-bc","rcp26",2019,1.418127
"h_1","hops-a","ct-bc","rcp26",2020,3.896091
"h_1","hops-a","ct-bc","rcp26",2021,0.501753
"h_1","hops-a","ct-bc","rcp26",2022,3.963381
"h_1","hops-a","ct-bc","rcp26",2023,2.679079
"h_1","hops-a","ct-bc","rcp26",2024,2.108309
"h_1","hops-a","ct-bc","rcp26",2025,3.161611
"h_1","hops-a","ct-bc","rcp26",2026,4.085572
"h_1","hops-a","ct-bc","rcp26",2027,7.004765
"h_1","hops-a","ct-bc","rcp26",2028,1.905156
"h_1","hops-a","ct-bc","rcp26",2029,4.969497
"h_1","hops-a","ct-bc","rcp26",2030,1.587277
"h_1","hops-a","ct-bc","rcp26",2031,1.005365
"h_1","hops-a","ct-bc","rcp26",2032,7.822976
"h_1","hops-a","ct-bc","rcp26",2033,6.350774
"h_1","hops-a","ct-bc","rcp26",2034,1.028252
"h_1","hops-a","ct-bc","rcp26",2035,3.208303
"h_1","hops-a","ct-bc","rcp26",2036,5.983552
"h_1","hops-a","ct-bc","rcp26",2037,1.5999
"h_1","hops-a","ct-bc","rcp26",2038,1.650382
"h_1","hops-a","ct-bc","rcp26",2039,4.455589
"h_1","hops-a","ct-bc","rcp26",2040,1.750138
"h_1","hops-a","ct-bc","rcp26",2041,3.270616
"h_1","hops-a","ct-bc","rcp26",2042,3.468195
"h_1","hops-a","ct-bc","rcp26",2043,0.84382
"h_1","hops-a","ct-bc","rcp26",2044,3.003639
"h_1","hops-a","ct-bc","rcp26",2045,1.892364
"h_1","hops-a","ct-bc","rcp26",2046,4.433044
"h_1","hops-a","ct-bc","rcp26",2047,0.482532
"h_1","hops-a","ct-bc","rcp26",2048,1.917661
"h_1","hops-a","ct-bc","rcp26",2049,3.888861
"h_1","hops-a","ct-bc","rcp26",2050,4.468048
"h_1","hops-a","ct-bc","rcp26",2051,3.093679
"h_1","hops-a","ct-bc","rcp26",2052,7.290238
"h_1","hops-a","ct-bc","rcp26",2053,2.271842
"h_1","hops-a","ct-bc","rcp26",2054,4.379987
"h_1","hops-a","ct-bc","rcp26",2055,2.177993
"h_1","hops-a","ct-bc","rcp26",2056,1.99143
"h_1","hops-a","ct-bc","rcp26",2057,2.957768
"h_1","hops-a","ct-bc","rcp26",2058,1.847552
"h_1","hops-a","ct-bc","rcp26",2059,1.387049
"h_1","hops-a","ct-bc","rcp26",2060,0.86936
"h_1","hops-a","ct-bc","rcp26",2061,4.358683
"h_1","hops-a","ct-bc","rcp26",2062,8.110765
"h_1","hops-a","ct-bc","rcp26",2063,1.500216
"h_1","hops-a","ct-bc","rcp26",2064,2.374011
"h_1","hops-a","ct-bc","rcp26",2065,3.46961
"h_1","hops-a","ct-bc","rcp26",2066,0.377039
"h_1","hops-a","ct-bc","rcp26",2067,2.93713
"h_1","hops-a","ct-bc","rcp26",2068,1.501076
"h_1","hops-a","ct-bc","rcp26",2069,1.588539
"h_1","hops-a","ct-bc","rcp26",2070,0.779144
"h_1","hops-a","ct-bc","rcp26",2071,3.100343
"h_1","hops-a","ct-bc","rcp26",2072,1.989623
"h_1","hops-a","ct-bc","rcp26",2073,6.718342
"h_1","hops-a","ct-bc","rcp60",2013,12.153074
"h_1","hops-a","ct-bc","rcp60",2014,6.209782
"h_1","hops-a","ct-bc","rcp60",2015,2.704758
"h_1","hops-a","ct-bc","rcp60",2016,1.00203
"h_1","hops-a","ct-bc","rcp60",2017,0.859655
"h_1","hops-a","ct-bc","rcp60",2018,4.74946
"h_1","hops-a","ct-bc","rcp60",2019,1.198439
"h_1","hops-a","ct-bc","rcp60",2020,5.359262
"h_1","hops-a","ct-bc","rcp60",2021,4.224135
"h_1","hops-a","ct-bc","rcp60",2022,3.954027
"h_1","hops-a","ct-bc","rcp60",2023,1.310255
"h_1","hops-a","ct-bc","rcp60",2024,0.782904
"h_1","hops-a","ct-bc","rcp60",2025,5.33331
"h_1","hops-a","ct-bc","rcp60",2026,1.436004
"h_1","hops-a","ct-bc","rcp60",2027,2.953425
"h_1","hops-a","ct-bc","rcp60",2028,2.830612
"h_1","hops-a","ct-bc","rcp60",2029,1.83884
"h_1","hops-a","ct-bc","rcp60",2030,3.1221
"h_1","hops-a","ct-bc","rcp60",2031,1.226197
"h_1","hops-a","ct-bc","rcp60",2032,1.821021
"h_1","hops-a","ct-bc","rcp60",2033,2.564162
"h_1","hops-a","ct-bc","rcp60",2034,3.909698
"h_1","hops-a","ct-bc","rcp60",2035,6.321421
"h_1","hops-a","ct-bc","rcp60",2036,6.654165
"h_1","hops-a","ct-bc","rcp60",2037,8.888956
"h_1","hops-a","ct-bc","rcp60",2038,2.257194
"h_1","hops-a","ct-bc","rcp60",2039,2.950261
"h_1","hops-a","ct-bc","rcp60",2040,2.272627
"h_1","hops-a","ct-bc","rcp60",2041,2.297629
"h_1","hops-a","ct-bc","rcp60",2042,2.172272
"h_1","hops-a","ct-bc","rcp60",2043,1.508364
"h_1","hops-a","ct-bc","rcp60",2044,2.728014
"h_1","hops-a","ct-bc","rcp60",2045,2.15071
"h_1","hops-a","ct-bc","rcp60",2046,1.699134
"h_1","hops-a","ct-bc","rcp60",2047,3.081974
"h_1","hops-a","ct-bc","rcp60",2048,2.086033
"h_1","hops-a","ct-bc","rcp60",2049,2.245076
"h_1","hops-a","ct-bc","rcp60",2050,4.795548
"h_1","hops-a","ct-bc","rcp60",2051,1.446866
"h_1","hops-a","ct-bc","rcp60",2052,2.034643
"h_1","hops-a","ct-bc","rcp60",2053,1.993411
"h_1","hops-a","ct-bc","rcp60",2054,1.784427
"h_1","hops-a","ct-bc","rcp60",2055,2.409929
"h_1","hops-a","ct-bc","rcp60",2056,1.522427
"h_1","hops-a","ct-bc","rcp60",2057,6.441083
"h_1","hops-a","ct-bc","rcp60",2058,3.418295
"h_1","hops-a","ct-bc","rcp60",2059,8.992561
"h_1","hops-a","ct-bc","rcp60",2060,3.569959
"h_1","hops-a","ct-bc","rcp60",2061,2.88391
"h_1","hops-a","ct-bc","rcp60",2062,1.58292
"h_1","hops-a","ct-bc","rcp60",2063,1.94037
"h_1","hops-a","ct-bc","rcp60",2064,7.77287
"h_1","hops-a","ct-bc","rcp60",2065,3.573889
"h_1","hops-a","ct-bc","rcp60",2066,1.215863
"h_1","hops-a","ct-bc","rcp60",2067,6.963913
"h_1","hops-a","ct-bc","rcp60",2068,3.007997
"h_1","hops-a","ct-bc","rcp60",2069,0.854916
"h_1","hops-a","ct-bc","rcp60",2070,6.122556
"h_1","hops-a","ct-bc","rcp60",2071,0.735796
"h_1","hops-a","ct-bc","rcp60",2072,1.777208
"h_1","hops-a","ct-bc","rcp60",2073,5.981191
"h_1","hops-a","ct-nc","rcp26",2013,27.591207
"h_1","hops-a","ct-nc","rcp26",2014,18.363175
"h_1","hops-a","ct-nc","rcp26",2015,17.919844
"h_1","hops-a","ct-nc","rcp26",2016,20.290565
"h_1","hops-a","ct-nc","rcp26",2017,19.85592
"h_1","hops-a","ct-nc","rcp26",2018,17.764274
"h_1","hops-a","ct-nc","rcp26",2019,15.877927
"h_1","hops-a","ct-nc","rcp26",2020,21.542079
"h_1","hops-a","ct-nc","rcp26",2021,4.010533
"h_1","hops-a","ct-nc","rcp26",2022,26.572434
"h_1","hops-a","ct-nc","rcp26",2023,9.493601
"h_1","hops-a","ct-nc","rcp26",2024,22.2
"h_1","hops-a","ct-nc","rcp26",2025,14.059786
"h_1","hops-a","ct-nc","rcp26",2026,13.140855
"h_1","hops-a","ct-nc","rcp26",2027,13.912986
"h_1","hops-a","ct-nc","rcp26",2028,9.820744
"h_1","hops-a","ct-nc","rcp26",2029,12.992485
"h_1","hops-a","ct-nc","rcp26",2030,13.566754
"h_1","hops-a","ct-nc","rcp26",2031,7.971832
"h_1","hops-a","ct-nc","rcp26",2032,12.933485
"h_1","hops-a","ct-nc","rcp26",2033,14.723794
"h_1","hops-a","ct-nc","rcp26",2034,12.003839
"h_1","hops-a","ct-nc","rcp26",2035,12.463608
"h_1","hops-a","ct-nc","rcp26",2036,9.952271
"h_1","hops-a","ct-nc","rcp26",2037,9.947347
"h_1","hops-a","ct-nc","rcp26",2038,9.907216
"h_1","hops-a","ct-nc","rcp26",2039,13.367186
"h_1","hops-a","ct-nc","rcp26",2040,10.76992
"h_1","hops-a","ct-nc","rcp26",2041,8.490969
"h_1","hops-a","ct-nc","rcp26",2042,10.393006
"h_1","hops-a","ct-nc","rcp26",2043,10.12972
"h_1","hops-a","ct-nc","rcp26",2044,10.074538
"h_1","hops-a","ct-nc","rcp26",2045,8.9939
"h_1","hops-a","ct-nc","rcp26",2046,12.375947
"h_1","hops-a","ct-nc","rcp26",2047,1.916682
"h_1","hops-a","ct-nc","rcp26",2048,16.57876
"h_1","hops-a","ct-nc","rcp26",2049,7.402081
"h_1","hops-a","ct-nc","rcp26",2050,9.782171
"h_1","hops-a","ct-nc","rcp26",2051,9.098734
"h_1","hops-a","ct-nc","rcp26",2052,9.510252
"h_1","hops-a","ct-nc","rcp26",2053,6.182394
"h_1","hops-a","ct-nc","rcp26",2054,9.21795
"h_1","hops-a","ct-nc","rcp26",2055,10.137871
"h_1","hops-a","ct-nc","rcp26",2056,8.662473
"h_1","hops-a","ct-nc","rcp26",2057,10.130276
"h_1","hops-a","ct-nc","rcp26",2058,9.093488
"h_1","hops-a","ct-nc","rcp26",2059,3.757274
"h_1","hops-a","ct-nc","rcp26",2060,11.147954
"h_1","hops-a","ct-nc","rcp26",2061,8.898077
"h_1","hops-a","ct-nc","rcp26",2062,7.906066
"h_1","hops-a","ct-nc","rcp26",2063,11.373659
